parameter-id,PRECIPITATION_LEVEL2,Q_LEVEL2,RH_LEVEL2,TA_LEVEL2,PA_LEVEL2,LWIN_LEVEL2,SWIN_LEVEL2,LWOUT_LEVEL2,SWOUT_LEVEL2,RN_LEVEL2,WD_LEVEL2,WS_LEVEL2,SNOWD_DISTANCE_COR_LEVEL2,COSMOS_VWC,D86_75M,G1_LEVEL2,G2_LEVEL2,STP_TSOIL2_LEVEL2,STP_TSOIL5_LEVEL2,STP_TSOIL10_LEVEL2,STP_TSOIL20_LEVEL2,STP_TSOIL50_LEVEL2,TDT1_TSOIL_LEVEL2,TDT2_TSOIL_LEVEL2,TDT1_VWC_LEVEL2,TDT2_VWC_LEVEL2,PE_LEVEL2_1H,,,TimeStamp,DOY,h2o_flux,sonic_temperature,air_temperature,air_pressure,ET,water_vapor_density,specific_humidity,RH,VPD,Tdew,max_wind_speed,wind_dir,wind_speed,ALB_1_1_1,LWIN_1_1_1,LWOUT_1_1_1,P_RAIN_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_1_1_2,SWC_1_1_3,SWC_1_1_4,SWIN_1_1_1,SWOUT_1_1_1,TA_1_1_1,TS_2_1_1,TS_2_1_2,TS_2_1_3,TS_2_1_4
parameter-name,"Precipitation (total, 30 min)","Absolute humidity (mean, 30 min)","Relative humidity (mean, 30 min)","Air temperature (mean, 30 min)","Atmospheric pressure (mean, 30 min)","Incoming longwave radiation (corrected) (mean, 30 min)","Incoming shortwave radiation (mean, 30 min)","Outgoing longwave radiation (corrected) (mean, 30 min)","Outgoing shortwave radiation (mean, 30 min)",Net Radiation,"Wind direction (mean, 30 min)","Wind speed (mean, 30 min)",Snow distance corrected,COSMOS sensor VWC,d86 75m (1 hour),Soil heat flux 1 ,Soil heat flux 2,Soil temperature profile (2 cm depth),Soil temperature profile (5 cm depth),Soil temperature profile (10 cm depth),Soil temperature profile (20 cm depth),Soil temperature profile (50 cm depth),Soil temperature 1,Soil temperature 2,Soil moisture content (nominal depth 10cm),Soil moisture content (nominal depth 10cm),Potential evaporation (1 hour),,,,,,,,,Evapotranspiration,,,Relative Humidity,Vapour Pressure Deficit,,,,,Albedo,"Incoming longwave radiation (corrected) (mean, 30 min)","Outgoing longwave radiation (corrected) (mean, 30 min)",,Net Radiation,Net Radiation,Soil Heat Flux,Soil Heat Flux,Soil Heat Flux,Soil Water Content,Soil Water Content,Soil Water Content,Soil Water Content,"Incoming shortwave radiation (mean, 30 min)","Outgoing shortwave radiation (mean, 30 min)",Aire Temperature,Soil Temperature,Soil Temperature,Soil Temperature,Soil Temperature
parameter-units,mm,gm-3,%,Deg Celsius,hPa,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,Degrees,ms-1,metres,%,cm,Wm-2,Wm-2,Deg Celsius,Deg Celsius,Deg Celsius,Deg Celsius,Deg Celsius,Deg Celsius,Deg Celsius,%,%,mm,,,,[ddd.ddd],[mmol+1s-1m-2],[K],[K],[Pa],[mm+1hour-1],[kg+1m-3],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[deg_from_north],[m+1s-1],[%],[W/m^2],[W/m^2],[m],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[K],[K],[K],[K],[K]
,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,COSMOS,,,,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL,UofL
01/07/2021 00:00,0,8.391,92.8,9.4,1012.835,292.2,-4.034,353.3,0.79,-65.924,351.99681,1.169,,21.1,17.33458,-19.67471,-10.41762,14.54,14.82,15.15,15.4,14.58,15.55,15.47,25.15,23.53,-0.02249,,,01/07/2021 00:00,182,-0.15709,287.55,286.492,101363,-0.0101794,0.00889192,0.00724556,77.014,350.887,282.511,1.9686,344.181,0.754115,-0.00236667,279.633,366.707,0,89.83,-86.65,NaN,NaN,-17.6965,0.2855,0.336,0.2692,0.2692,1.15097,-0.00333333,284.027,288.473,290.332,287.882,288.31
01/07/2021 00:30,0,8.313,95.1,8.87,1012.642,291.1,-3.303,352.7,1.388,-66.291,337.27027,1.412,,,,-22.15296,-11.69061,14.32,14.64,15.02,15.33,14.58,15.43,15.38,25.15,23.58,,,,01/07/2021 00:30,182.0208,0.0358247,287.354,286.32,101347,0.00232144,0.00869255,0.00707928,76.0884,360.956,282.166,3.54737,309.086,1.29555,-0.00123333,276.803,363.243,0,91.08,-85.2033,NaN,NaN,-19.3656,0.2859,0.336067,0.269667,0.269667,1.90147,-0.00323333,283.401,288.024,290.222,287.432,287.85
01/07/2021 01:00,0,8.277,96.1,8.64,1012.593,294.5,-3.261,350.3,1.348,-60.409,327.03408,1.152,,24.1,16.31714,-23.2163,-12.35376,14.16,14.5,14.91,15.28,14.59,15.31,15.28,25.15,23.58,-0.02708,,,01/07/2021 01:00,182.0416,-0.0100718,287.005,285.983,101340,-0.000652652,0.00861013,0.00700407,76.9545,340.306,282.007,3.57565,303.906,1.18935,-0.00293333,276.053,361.59,0,91.4867,-84.6433,NaN,NaN,-22.104,0.286,0.336433,0.269833,0.269833,1.59943,-0.00236667,283.155,287.57,290.112,287.033,287.392
01/07/2021 01:30,0,8.299,95.8,8.73,1012.505,303.6,-2.672,352.8,1.49,-53.362,332.57173,1.425,,,,-23.82592,-13.45068,13.99,14.34,14.79,15.21,14.58,15.2,15.16,25.15,23.41,,,,01/07/2021 01:30,182.0624,-0.0660878,286.709,285.697,101332,-0.00428249,0.00854602,0.00694527,77.7532,322.391,281.882,2.45491,282.874,1.05049,-0.0035,281.527,361.063,0,91.36,-78.974,NaN,NaN,-22.6399,0.286,0.3369,0.27,0.27,1.2197,-0.00286667,283.088,287.201,289.998,286.723,287.022
01/07/2021 02:00,0,8.427,96.9,8.79,1012.496,309.5,-2.423,353.3,1.399,-47.622,302.85734,1.262,,25.9,15.78798,-23.29327,-13.36171,13.88,14.23,14.67,15.14,14.58,15.09,15.07,25.15,23.82,-0.01816,,,01/07/2021 02:00,182.0833,0.0072321,285.992,284.996,101331,0.00046864,0.00845809,0.00685667,80.3879,271.4,281.693,2.03208,254.173,1.09142,-0.00223333,294.463,360.017,0,93.75,-65.151,NaN,NaN,-22.6374,0.286,0.337,0.27,0.27,1.0718,-0.0026,282.413,286.91,289.879,286.45,286.731
01/07/2021 02:30,0,8.418,96.3,8.87,1012.483,312.1,-2.421,354.7,1.279,-46.3,315.28705,1.444,,,,-22.75569,-13.29054,13.78,14.13,14.57,15.08,14.58,14.99,15,25.15,24.51,,,,01/07/2021 02:30,182.1041,-0.0263751,286.55,285.54,101329,-0.0017091,0.00854078,0.00693741,78.4656,308.876,281.864,2.84437,287.583,1.29464,-0.0016,304.837,360.84,0,93.51,-54.9933,NaN,NaN,-22.4897,0.286,0.337,0.27,0.27,1.673,-0.00223333,282.652,286.654,289.748,286.22,286.463
01/07/2021 03:00,0,8.364,96.8,8.69,1012.407,323.3,-1.632,355.1,1.25,-34.682,313.35703,1.117,,21.6,17.15165,-21.50284,-12.70841,13.72,14.05,14.49,15.02,14.59,14.91,14.91,25.15,23.41,-0.01256,,,01/07/2021 03:00,182.1249,-0.00188552,286.418,285.411,101322,-0.000122181,0.00851989,0.0069177,78.9062,299.996,281.822,2.70921,280.975,1.09167,-0.00253333,312.273,362.46,0,92.4833,-49.668,NaN,NaN,-21.6152,0.286033,0.337,0.27,0.27,1.1254,-0.00353333,282.805,286.472,289.616,286.081,286.282
