,Crop.Group,Variety,Field.Defined.Name,Application.Area.ha,Product.Name,Status,Actual.Issued.Date,Quantity,Units,Rate.per.Application.Area.ha
3197,Wheat Winter,Einstein,A64 Field.0412,16.09,Heavy Disc,Completed,2008-09-27,16.09,ha,1
3206,Wheat Winter,Einstein,A64 Field.0412,16.09,Subsoil,Completed,2008-09-27,16.09,ha,1
3190,Wheat Winter,Einstein,A64 Field.0412,16.09,Contractor Combi Drilling,Completed,2008-10-09,16.09,ha,1
3192,Wheat Winter,Einstein,A64 Field.0412,16.09,Einstein WW,Completed,2008-10-09,2896.2,kg,180
3203,Wheat Winter,Einstein,A64 Field.0412,16.09,Roll,Completed,2008-10-10,16.09,ha,1
3183,Wheat Winter,Einstein,A64 Field.0412,16.09,34.5%n,Completed,2009-02-28,1845.75,kg,114.71
3193,Wheat Winter,Einstein,A64 Field.0412,16.09,Fert Spread,Completed,2009-02-28,16.09,ha,1
3182,Wheat Winter,Einstein,A64 Field.0412,16.09,0-24-24,Completed,2009-04-08,3218,kg,200
3194,Wheat Winter,Einstein,A64 Field.0412,16.09,Fert Spread,Completed,2009-04-08,16.09,ha,1
3184,Wheat Winter,Einstein,A64 Field.0412,16.09,34.5%n,Completed,2009-04-16,3955.15,kg,245.81
3195,Wheat Winter,Einstein,A64 Field.0412,16.09,Fert Spread,Completed,2009-04-16,16.09,ha,1
3186,Wheat Winter,Einstein,A64 Field.0412,16.09,Adigor,Completed,2009-05-20,16.09,L,1
3187,Wheat Winter,Einstein,A64 Field.0412,16.09,Axial,Completed,2009-05-20,5.63,L,0.35
3188,Wheat Winter,Einstein,A64 Field.0412,16.09,Biplay PX,Completed,2009-05-20,595.33,g,37
3198,Wheat Winter,Einstein,A64 Field.0412,16.09,Hiker,Completed,2009-05-20,8.05,L,0.5
3199,Wheat Winter,Einstein,A64 Field.0412,16.09,Manipulator,Completed,2009-05-20,12.87,L,0.8
3200,Wheat Winter,Einstein,A64 Field.0412,16.09,Mantra,Completed,2009-05-20,16.09,L,1
3204,Wheat Winter,Einstein,A64 Field.0412,16.09,Spraying,Completed,2009-05-20,16.09,ha,1
3185,Wheat Winter,Einstein,A64 Field.0412,16.09,34.5%n,Completed,2009-06-03,2011.25,kg,125
3196,Wheat Winter,Einstein,A64 Field.0412,16.09,Fert Spread,Completed,2009-06-03,16.09,ha,1
3191,Wheat Winter,Einstein,A64 Field.0412,16.09,Diamant,Completed,2009-06-09,9.65,L,0.6
3201,Wheat Winter,Einstein,A64 Field.0412,16.09,Octolan,Completed,2009-06-09,16.09,L,1
3202,Wheat Winter,Einstein,A64 Field.0412,16.09,Prosaro,Completed,2009-06-09,9.65,L,0.6
3205,Wheat Winter,Einstein,A64 Field.0412,16.09,Spraying,Completed,2009-06-09,16.09,ha,1
3207,Wheat Winter,Einstein,A64 Field.0412,16.09,Wheat,Completed,2009-09-01,52.52,t,3.26
3189,Wheat Winter,Einstein,A64 Field.0412,16.09,Combine,Completed,2009-09-09,16.09,ha,1
117,Barley Spring,Quench,A64 Field.0412,16.09,Plough/h,Completed,2010-02-18,16.09,ha,1
105,Barley Spring,Quench,A64 Field.0412,16.09,0-24-24,Completed,2010-03-08,4846.96,kg,301.24
113,Barley Spring,Quench,A64 Field.0412,16.09,Fert Spread,Completed,2010-03-08,16.09,ha,1
