,Crop.Group,Variety,Field.Defined.Name,Application.Area.ha,Product.Name,Status,Actual.Issued.Date,Quantity,Units,Rate.per.Application.Area.ha
3219,Wheat Winter,Einstein,Between Woods.4308,10.23,Heavy Disc,Completed,2008-09-27,10.23,ha,1
3221,Wheat Winter,Einstein,Between Woods.4308,10.23,Subsoil,Completed,2008-09-27,10.23,ha,1
3213,Wheat Winter,Einstein,Between Woods.4308,10.23,Contractor Combi Drilling,Completed,2008-10-09,10.23,ha,1
3214,Wheat Winter,Einstein,Between Woods.4308,10.23,Einstein WW,Completed,2008-10-09,1841.4,kg,180
3220,Wheat Winter,Einstein,Between Woods.4308,10.23,Roll,Completed,2008-10-10,10.23,ha,1
3209,Wheat Winter,Einstein,Between Woods.4308,10.23,34.5%n,Completed,2009-02-28,1173.53,kg,114.71
3215,Wheat Winter,Einstein,Between Woods.4308,10.23,Fert Spread,Completed,2009-02-28,10.23,ha,1
3208,Wheat Winter,Einstein,Between Woods.4308,10.23,0-24-24,Completed,2009-04-08,2046,kg,200
3216,Wheat Winter,Einstein,Between Woods.4308,10.23,Fert Spread,Completed,2009-04-08,10.23,ha,1
3210,Wheat Winter,Einstein,Between Woods.4308,10.23,34.5%n,Completed,2009-04-16,2514.68,kg,245.81
3217,Wheat Winter,Einstein,Between Woods.4308,10.23,Fert Spread,Completed,2009-04-16,10.23,ha,1
3211,Wheat Winter,Einstein,Between Woods.4308,10.23,34.5%n,Completed,2009-06-03,1278.75,kg,125
3218,Wheat Winter,Einstein,Between Woods.4308,10.23,Fert Spread,Completed,2009-06-03,10.23,ha,1
3222,Wheat Winter,Einstein,Between Woods.4308,10.23,Wheat,Completed,2009-09-01,33.4,t,3.26
3212,Wheat Winter,Einstein,Between Woods.4308,10.23,Combine,Completed,2009-09-09,10.23,ha,1
136,Barley Spring,Quench,Between Woods.4308,10.23,Plough/h,Completed,2010-02-18,10.23,ha,1
124,Barley Spring,Quench,Between Woods.4308,10.23,0-24-24,Completed,2010-03-08,3081.69,kg,301.24
132,Barley Spring,Quench,Between Woods.4308,10.23,Fert Spread,Completed,2010-03-08,10.23,ha,1
129,Barley Spring,Quench,Between Woods.4308,10.23,Combi Drill,Completed,2010-03-16,10.23,ha,1
137,Barley Spring,Quench,Between Woods.4308,10.23,Quench SB,Completed,2010-03-16,1790.25,kg,175
128,Barley Spring,Quench,Between Woods.4308,10.23,Cleancrop Stomp,Completed,2010-04-05,31.09,L,3.04
138,Barley Spring,Quench,Between Woods.4308,10.23,Roundup Energy,Completed,2010-04-05,10.43,L,1.02
139,Barley Spring,Quench,Between Woods.4308,10.23,Spray,Completed,2010-04-05,10.23,ha,1
