,Crop.Group,Variety,Field.Defined.Name,Application.Area.ha,Product.Name,Status,Actual.Issued.Date,Quantity,Units,Rate.per.Application.Area.ha
13,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Spray,Completed,2012-03-15,13.37,ha,1
17,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Stomp 400 SC,Completed,2012-03-15,44.121,L,3.3
1,Barley Spring,Barley Spring,Big field.B.5861B,13.37,34.5%n,Completed,2012-03-23,2272.9,kg,170
6,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Fert Spread,Completed,2012-03-23,13.37,ha,1
2,Barley Spring,Barley Spring,Big field.B.5861B,13.37,34.5%n,Completed,2012-05-04,2272.9,kg,170
7,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Fert Spread,Completed,2012-05-04,13.37,ha,1
3,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Ally Max SX,Completed,2012-05-24,334.25,g,25
8,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Gala,Completed,2012-05-24,10.028,L,0.75
9,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Hallmark With Zeon Technology,Completed,2012-05-24,0.669,L,0.05
11,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Headland Manganese 15%,Completed,2012-05-24,0,L,0
14,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Spray,Completed,2012-05-24,13.37,ha,1
10,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Hallmark With Zeon Technology,Completed,2012-06-10,0.634,L,0.05
12,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Siltra Xpro,Completed,2012-06-10,10.028,L,0.75
15,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Spray,Completed,2012-06-10,13.37,ha,1
16,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Sprays for 2011/12 season,Completed,2012-07-24,-44.831,GBP,-3.35
4,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Barley-Feed,Completed,2012-09-25,91.923,t,6.88
5,Barley Spring,Barley Spring,Big field.B.5861B,13.37,Combine,Completed,2012-09-25,13.37,ha,1
