"","Crop.Group","Variety","Field.Defined.Name","Fertiliser.Nutrient.Name","Actual.Issued.Date","Product.Name","Rate.per.Application.Area.ha","Units","Fertiliser.Nutrient.Rate.per.Working.Area"
"14","Barley Spring","Propino","Copse.9212","K2O","15/03/2016","MOP",139.93,"kg",83.96
"16","Barley Spring","Propino","Copse.9212","N","27/04/2016","Urea Blend 33%N 30SO3",154.48,"kg",50.98
"17","Barley Spring","Propino","Copse.9212","N","26/05/2016","34.5%n",280,"kg",96.6
"19","Barley Spring","Propino","Copse.9212","SO3","27/04/2016","Urea Blend 33%N 30SO3",154.48,"kg",46.34
"426","Barley Winter","KWS Tower","Copse.9212","CaO","05/09/2016","TSP 46%",230,"kg",34.5
"428","Barley Winter","KWS Tower","Copse.9212","K2O","05/09/2016","TSP 46%",230,"kg",0
"429","Barley Winter","KWS Tower","Copse.9212","K2O","13/03/2017","MOP",184.04,"kg",110.42
"431","Barley Winter","KWS Tower","Copse.9212","N","05/09/2016","TSP 46%",230,"kg",0
"432","Barley Winter","KWS Tower","Copse.9212","N","21/02/2017","Urea Blend 33%N 30SO3",185,"kg",61.05
"433","Barley Winter","KWS Tower","Copse.9212","N","07/04/2017","34.5%n",220,"kg",75.9
"434","Barley Winter","KWS Tower","Copse.9212","N","27/04/2017","34.5%n",220,"kg",75.9
"436","Barley Winter","KWS Tower","Copse.9212","P2O5","05/09/2016","TSP 46%",230,"kg",105.8
"438","Barley Winter","KWS Tower","Copse.9212","SO3","21/02/2017","Urea Blend 33%N 30SO3",185,"kg",55.5
"1798","Wheat Winter","JB Diego","Copse.9212","N","05/03/2014","Sulphur +",139.2,"kg",40.37
"1799","Wheat Winter","JB Diego","Copse.9212","N","08/04/2014","34.5%n",260,"kg",89.7
"1800","Wheat Winter","JB Diego","Copse.9212","N","06/05/2014","34.5%n",174,"kg",60.03
"1802","Wheat Winter","JB Diego","Copse.9212","SO3","05/03/2014","Sulphur +",139.2,"kg",27.84
"1977","Wheat Winter","KWS Santiago","Copse.9212","N","10/03/2015","Sulphur +",140,"kg",40.6
"1978","Wheat Winter","KWS Santiago","Copse.9212","N","05/04/2015","34.5%n",230,"kg",79.35
"1979","Wheat Winter","KWS Santiago","Copse.9212","N","30/04/2015","34.5%n",260,"kg",89.7
"1981","Wheat Winter","KWS Santiago","Copse.9212","SO3","10/03/2015","Sulphur +",140,"kg",28
"2192","Wheat Winter","Winter Wheat","Copse.9212","K2O","23/02/2012","MOP",170,"kg",135.89
"2194","Wheat Winter","Winter Wheat","Copse.9212","N","23/03/2012","34.5%n",290,"kg",133.29
"2195","Wheat Winter","Winter Wheat","Copse.9212","N","04/05/2012","34.5%n",260,"kg",89.7
