,Crop.Group,Variety,Field.Defined.Name,Application.Area.ha,Product.Name,Status,Actual.Issued.Date,Quantity,Units,Rate.per.Application.Area.ha
90,Barley Spring,Quench,Dip Field.8349,7.87,Combi Drill,Completed,2014-04-05,7.87,ha,1
98,Barley Spring,Quench,Dip Field.8349,7.87,Ploughing,Completed,2014-04-05,7.87,ha,1
99,Barley Spring,Quench,Dip Field.8349,7.87,Power Harrow,Completed,2014-04-05,7.87,ha,1
100,Barley Spring,Quench,Dip Field.8349,7.87,Quench SB,Completed,2014-04-05,1660.338,kg,210.97
85,Barley Spring,Quench,Dip Field.8349,7.87,0-24-24,Completed,2014-04-07,3079.171,kg,391.25
93,Barley Spring,Quench,Dip Field.8349,7.87,Fert Spread,Completed,2014-04-07,7.87,ha,1
86,Barley Spring,Quench,Dip Field.8349,7.87,34.5%n,Completed,2014-04-09,1361.51,kg,173
94,Barley Spring,Quench,Dip Field.8349,7.87,Fert Spread,Completed,2014-04-09,7.87,ha,1
92,Barley Spring,Quench,Dip Field.8349,7.87,Crystal,Completed,2014-04-10,15.094,L,1.92
102,Barley Spring,Quench,Dip Field.8349,7.87,Spray,Completed,2014-04-10,7.87,ha,1
87,Barley Spring,Quench,Dip Field.8349,7.87,34.5%n,Completed,2014-05-15,1337.9,kg,170
95,Barley Spring,Quench,Dip Field.8349,7.87,Fert Spread,Completed,2014-05-15,7.87,ha,1
88,Barley Spring,Quench,Dip Field.8349,7.87,Ally Max SX,Completed,2014-05-31,236.1,g,30
96,Barley Spring,Quench,Dip Field.8349,7.87,Gala,Completed,2014-05-31,3.935,L,0.5
101,Barley Spring,Quench,Dip Field.8349,7.87,Siltra Xpro,Completed,2014-05-31,5.903,L,0.75
103,Barley Spring,Quench,Dip Field.8349,7.87,Spray,Completed,2014-05-31,7.87,ha,1
97,Barley Spring,Quench,Dip Field.8349,7.87,Kendo,Completed,2014-06-17,0.787,L,0.1
104,Barley Spring,Quench,Dip Field.8349,7.87,Spray,Completed,2014-06-17,7.87,ha,1
89,Barley Spring,Quench,Dip Field.8349,7.87,Barley-Malting,Completed,2014-08-10,60.005,t,7.62
91,Barley Spring,Quench,Dip Field.8349,7.87,Combine,Completed,2014-08-10,7.87,ha,1
560,Barley Winter,Cassia,Dip Field.8349,7.87,Sumo,Completed,2014-09-01,7.87,ha,1
530,Barley Winter,Cassia,Dip Field.8349,15.74,Azural,Completed,2014-09-20,39.35,L,2.5
550,Barley Winter,Cassia,Dip Field.8349,15.74,Spray,Completed,2014-09-20,15.74,ha,1
532,Barley Winter,Cassia,Dip Field.8349,7.87,Cassia WB,Completed,2014-09-23,1415.313,kg,179.84
547,Barley Winter,Cassia,Dip Field.8349,7.87,Rolling,Completed,2014-09-23,7.87,ha,1
562,Barley Winter,Cassia,Dip Field.8349,7.87,Vaderstad Drill,Completed,2014-09-23,7.87,ha,1
545,Barley Winter,Cassia,Dip Field.8349,7.87,Liberator,Completed,2014-09-24,4.722,L,0.6
551,Barley Winter,Cassia,Dip Field.8349,7.87,Spray,Completed,2014-09-24,7.87,ha,1
527,Barley Winter,Cassia,Dip Field.8349,15.74,3C Chlormequat 750,Completed,2014-10-29,11.018,L,0.7
533,Barley Winter,Cassia,Dip Field.8349,15.74,Clayton Spigot,Completed,2014-10-29,4.722,L,0.3
539,Barley Winter,Cassia,Dip Field.8349,15.74,Headland Manganese 15%,Completed,2014-10-29,36.07,L,2.29
540,Barley Winter,Cassia,Dip Field.8349,15.74,Karate 2.5 WG,Completed,2014-10-29,1.574,kg,0.1
541,Barley Winter,Cassia,Dip Field.8349,15.74,Kayak,Completed,2014-10-29,9.444,L,0.6
544,Barley Winter,Cassia,Dip Field.8349,15.74,LI-700,Completed,2014-10-29,7.87,L,0.5
552,Barley Winter,Cassia,Dip Field.8349,15.74,Spray,Completed,2014-10-29,15.74,ha,1
546,Barley Winter,Cassia,Dip Field.8349,7.87,Pig Slurry,Completed,2015-02-09,236.1,m3,30
535,Barley Winter,Cassia,Dip Field.8349,7.87,Fert Spread,Completed,2015-03-06,7.87,ha,1
