,Crop.Group,Variety,Field.Defined.Name,Application.Area.ha,Product.Name,Status,Actual.Issued.Date,Quantity,Units,Rate.per.Application.Area.ha
362,Barley Winter,Barley Winter,Flats field.1941,4.9,Ploughing,Completed,2011-09-21,4.9,ha,1
348,Barley Winter,Barley Winter,Flats field.1941,4.9,Cassia WB,Completed,2011-09-26,867.3,kg,177
350,Barley Winter,Barley Winter,Flats field.1941,4.9,Combi Drill,Completed,2011-09-26,4.9,ha,1
363,Barley Winter,Barley Winter,Flats field.1941,4.9,Roll,Completed,2011-09-27,4.9,ha,1
360,Barley Winter,Barley Winter,Flats field.1941,4.9,Liberator,Completed,2011-10-15,2.94,L,0.6
366,Barley Winter,Barley Winter,Flats field.1941,4.9,Spray,Completed,2011-10-15,4.9,ha,1
356,Barley Winter,Barley Winter,Flats field.1941,9.8,Hallmark With Zeon Technology,Completed,2011-10-27,0.49,L,0.05
367,Barley Winter,Barley Winter,Flats field.1941,9.8,Spray,Completed,2011-10-27,9.8,ha,1
339,Barley Winter,Barley Winter,Flats field.1941,4.9,34.5%n,Completed,2012-02-25,994.7,kg,203
352,Barley Winter,Barley Winter,Flats field.1941,4.9,Fert Spread,Completed,2012-02-25,4.9,ha,1
342,Barley Winter,Barley Winter,Flats field.1941,4.9,3C Chlormequat 720,Completed,2012-03-06,11.025,L,2.25
349,Barley Winter,Barley Winter,Flats field.1941,4.9,Clayton Spigot,Completed,2012-03-06,1.47,L,0.3
358,Barley Winter,Barley Winter,Flats field.1941,4.9,Headland Manganese 15%,Completed,2012-03-06,27.326,L,5.58
359,Barley Winter,Barley Winter,Flats field.1941,4.9,LI-700,Completed,2012-03-06,2.45,L,0.5
368,Barley Winter,Barley Winter,Flats field.1941,4.9,Spray,Completed,2012-03-06,4.9,ha,1
340,Barley Winter,Barley Winter,Flats field.1941,4.9,34.5%n,Completed,2012-04-05,931,kg,190
353,Barley Winter,Barley Winter,Flats field.1941,4.9,Fert Spread,Completed,2012-04-05,4.9,ha,1
344,Barley Winter,Barley Winter,Flats field.1941,4.9,Ally Max SX,Completed,2012-04-19,122.5,g,25
355,Barley Winter,Barley Winter,Flats field.1941,4.9,Gala,Completed,2012-04-19,2.45,L,0.5
364,Barley Winter,Barley Winter,Flats field.1941,4.9,Siltra Xpro,Completed,2012-04-19,2.938,L,0.6
369,Barley Winter,Barley Winter,Flats field.1941,4.9,Spray,Completed,2012-04-19,4.9,ha,1
341,Barley Winter,Barley Winter,Flats field.1941,4.9,34.5%n,Completed,2012-04-30,563.5,kg,115
354,Barley Winter,Barley Winter,Flats field.1941,4.9,Fert Spread,Completed,2012-04-30,4.9,ha,1
343,Barley Winter,Barley Winter,Flats field.1941,4.9,Adigor,Completed,2012-05-09,2.45,L,0.5
345,Barley Winter,Barley Winter,Flats field.1941,4.9,Axial,Completed,2012-05-09,1.47,L,0.3
370,Barley Winter,Barley Winter,Flats field.1941,4.9,Spray,Completed,2012-05-09,4.9,ha,1
357,Barley Winter,Barley Winter,Flats field.1941,4.9,Hallmark With Zeon Technology,Completed,2012-05-22,0.245,L,0.05
365,Barley Winter,Barley Winter,Flats field.1941,4.9,Siltra Xpro,Completed,2012-05-22,1.958,L,0.4
371,Barley Winter,Barley Winter,Flats field.1941,4.9,Spray,Completed,2012-05-22,4.9,ha,1
376,Barley Winter,Barley Winter,Flats field.1941,4.9,Terpal,Completed,2012-05-22,4.9,L,1
346,Barley Winter,Barley Winter,Flats field.1941,4.9,Azural,Completed,2012-07-13,14.7,L,3
372,Barley Winter,Barley Winter,Flats field.1941,4.9,Spray,Completed,2012-07-13,4.9,ha,1
375,Barley Winter,Barley Winter,Flats field.1941,4.9,Spryte Aqua,Completed,2012-07-13,2.45,L,0.5
373,Barley Winter,Barley Winter,Flats field.1941,4.9,Sprays for 2011/12 season,Completed,2012-07-24,-16.43,GBP,-3.35
351,Barley Winter,Barley Winter,Flats field.1941,4.9,Combine,Completed,2012-07-27,4.9,ha,1
347,Barley Winter,Barley Winter,Flats field.1941,4.9,Barley-Feed,Completed,2012-07-31,40.007,t,8.16
361,Barley Winter,Barley Winter,Flats field.1941,4.9,Pig Fym,Completed,2012-08-08,98,t,20
374,Barley Winter,Barley Winter,Flats field.1941,4.9,Spread Manure,Completed,2012-08-08,4.9,ha,1
2254,Rape Winter,Palmedor,Flats field.1941,2,Pig Fym,Completed,2012-08-08,20,t,10
2258,Rape Winter,Palmedor,Flats field.1941,2,Spread Manure,Completed,2012-08-08,2,ha,1
2245,Rape Winter,Palmedor,Flats field.1941,2,Combi Drill,Completed,2012-08-21,2,ha,1
2252,Rape Winter,Palmedor,Flats field.1941,2,Palmador OSR,Completed,2012-08-21,5.8,kg,2.9
2260,Rape Winter,Palmedor,Flats field.1941,2,Sumo,Completed,2012-08-21,2,ha,1
2244,Rape Winter,Palmedor,Flats field.1941,2,Centium 360 CS,Completed,2012-08-24,0.383,L,0.19
2251,Rape Winter,Palmedor,Flats field.1941,2,Naspar TDI,Completed,2012-08-24,4.211,L,2.11
2255,Rape Winter,Palmedor,Flats field.1941,2,Spray,Completed,2012-08-24,2,ha,1
2241,Rape Winter,Palmedor,Flats field.1941,2,34.5%n,Completed,2012-08-28,230,kg,115
2246,Rape Winter,Palmedor,Flats field.1941,2,Fert Spread,Completed,2012-08-28,2,ha,1
2261,Rape Winter,Palmedor,Flats field.1941,2,Tempt,Completed,2012-08-28,10,kg,5
2243,Rape Winter,Palmedor,Flats field.1941,4,Advance 66,Completed,2012-10-20,0,L,0
2249,Rape Winter,Palmedor,Flats field.1941,4,Fusilade Max,Completed,2012-10-20,3.828,L,0.96
2250,Rape Winter,Palmedor,Flats field.1941,4,Harvesan,Completed,2012-10-20,1.6,L,0.4
2253,Rape Winter,Palmedor,Flats field.1941,4,Permasect C,Completed,2012-10-20,1,L,0.25
2256,Rape Winter,Palmedor,Flats field.1941,4,Spray,Completed,2012-10-20,4,ha,1
2257,Rape Winter,Palmedor,Flats field.1941,2,sprays rebate 2012,Completed,2013-01-10,-18.479,GBP,-9.24
146,Barley Spring,Quench,Flats field.1941,2,Combi Drill,Completed,2013-02-12,2,ha,1
151,Barley Spring,Quench,Flats field.1941,2,Quench SB,Completed,2013-02-12,370,kg,185
2247,Rape Winter,Palmedor,Flats field.1941,2,Fert Spread,Completed,2013-02-19,2,ha,1
2259,Rape Winter,Palmedor,Flats field.1941,2,Sulphur +,Completed,2013-02-19,280,kg,140
143,Barley Spring,Quench,Flats field.1941,2,34.5%n,Completed,2013-04-20,460,kg,230
148,Barley Spring,Quench,Flats field.1941,2,Fert Spread,Completed,2013-04-20,2,ha,1
153,Barley Spring,Quench,Flats field.1941,2,Spray,Completed,2013-04-20,2,ha,1
155,Barley Spring,Quench,Flats field.1941,2,Stomp Aqua,Completed,2013-04-20,5.8,L,2.9
2242,Rape Winter,Palmedor,Flats field.1941,2,34.5%n,Completed,2013-05-01,230,kg,115
2248,Rape Winter,Palmedor,Flats field.1941,2,Fert Spread,Completed,2013-05-01,2,ha,1
144,Barley Spring,Quench,Flats field.1941,2,Ally Max SX,Completed,2013-05-31,50,g,25
149,Barley Spring,Quench,Flats field.1941,2,Gala,Completed,2013-05-31,1,L,0.5
150,Barley Spring,Quench,Flats field.1941,2,Headland Manganese 15%,Completed,2013-05-31,6.151,L,3.08
152,Barley Spring,Quench,Flats field.1941,2,Siltra Xpro,Completed,2013-05-31,1.5,L,0.75
154,Barley Spring,Quench,Flats field.1941,2,Spray,Completed,2013-05-31,2,ha,1
145,Barley Spring,Quench,Flats field.1941,2,Barley-Malting,Completed,2013-08-25,13.562,t,6.78
147,Barley Spring,Quench,Flats field.1941,2,Combine,Completed,2013-08-25,2,ha,1
3994,Wheat Winter,JB Diego,Flats field.1941,2,Combi Drill,Completed,2013-09-24,2,ha,1
4001,Wheat Winter,JB Diego,Flats field.1941,2,JB Diego WW,Completed,2013-09-24,377.97,kg,188.98
4006,Wheat Winter,JB Diego,Flats field.1941,2,Ploughing,Completed,2013-09-24,2,ha,1
4007,Wheat Winter,JB Diego,Flats field.1941,2,Power Harrow,Completed,2013-09-24,2,ha,1
4008,Wheat Winter,JB Diego,Flats field.1941,2,Roll,Completed,2013-09-24,2,ha,1
3992,Wheat Winter,JB Diego,Flats field.1941,2,Azural,Completed,2013-10-07,6,L,3
4011,Wheat Winter,JB Diego,Flats field.1941,2,Spray,Completed,2013-10-07,2,ha,1
3996,Wheat Winter,JB Diego,Flats field.1941,2,Fert Spread,Completed,2014-03-05,2,ha,1
4016,Wheat Winter,JB Diego,Flats field.1941,2,Sulphur +,Completed,2014-03-05,278.408,kg,139.2
3989,Wheat Winter,JB Diego,Flats field.1941,2,3C Chlormequat 750,Completed,2014-03-17,3.2,L,1.6
3993,Wheat Winter,JB Diego,Flats field.1941,2,Cherokee,Completed,2014-03-17,3,L,1.5
4000,Wheat Winter,JB Diego,Flats field.1941,2,Headland Manganese 15%,Completed,2014-03-17,6.151,L,3.08
4002,Wheat Winter,JB Diego,Flats field.1941,2,Justice,Completed,2014-03-17,0.25,L,0.13
4003,Wheat Winter,JB Diego,Flats field.1941,2,Kendo,Completed,2014-03-17,0.2,L,0.1
4012,Wheat Winter,JB Diego,Flats field.1941,2,Spray,Completed,2014-03-17,2,ha,1
3987,Wheat Winter,JB Diego,Flats field.1941,2,34.5%n,Completed,2014-04-09,520,kg,260
3997,Wheat Winter,JB Diego,Flats field.1941,2,Fert Spread,Completed,2014-04-09,2,ha,1
3990,Wheat Winter,JB Diego,Flats field.1941,2,3C Chlormequat 750,Completed,2014-04-30,1.109,L,0.55
3991,Wheat Winter,JB Diego,Flats field.1941,2,Ally Max SX,Completed,2014-04-30,50,g,25
3999,Wheat Winter,JB Diego,Flats field.1941,2,Gala,Completed,2014-04-30,1.109,L,0.55
4009,Wheat Winter,JB Diego,Flats field.1941,2,Sparticus Xpro,Completed,2014-04-30,1.995,L,1
4013,Wheat Winter,JB Diego,Flats field.1941,2,Spray,Completed,2014-04-30,2,ha,1
3988,Wheat Winter,JB Diego,Flats field.1941,2,34.5%n,Completed,2014-05-06,520,kg,260
3998,Wheat Winter,JB Diego,Flats field.1941,2,Fert Spread,Completed,2014-05-06,2,ha,1
4010,Wheat Winter,JB Diego,Flats field.1941,2,Sparticus Xpro,Completed,2014-05-30,2.45,L,1.23
4014,Wheat Winter,JB Diego,Flats field.1941,2,Spray,Completed,2014-05-30,2,ha,1
4004,Wheat Winter,JB Diego,Flats field.1941,2,Kendo,Completed,2014-06-16,0.2,L,0.1
4005,Wheat Winter,JB Diego,Flats field.1941,2,Osiris P,Completed,2014-06-16,2,L,1
4015,Wheat Winter,JB Diego,Flats field.1941,2,Spray,Completed,2014-06-16,2,ha,1
3995,Wheat Winter,JB Diego,Flats field.1941,2,Combine,Completed,2014-08-18,2,ha,1
4017,Wheat Winter,JB Diego,Flats field.1941,2,Wheat,Completed,2014-08-18,16.322,t,8.16
2664,Setaside / Green Cover,Wild Bird Seed Mix,Flats field.1941,2,Combi Drill,Completed,2015-04-16,2,ha,1
2665,Setaside / Green Cover,Wild Bird Seed Mix,Flats field.1941,2,Rolling,Completed,2015-04-16,2,ha,1
2668,Setaside / Green Cover,Wild Bird Seed Mix,Flats field.1941,2,Sumo,Completed,2015-04-16,2,ha,1
2669,Setaside / Green Cover,Wild Bird Seed Mix,Flats field.1941,2,Wild Bird Mix,Completed,2015-04-16,50,kg,25
2666,Setaside / Green Cover,Wild Bird Seed Mix,Flats field.1941,2,Roundup Flex,Completed,2016-07-13,2.564,L,1.28
2667,Setaside / Green Cover,Wild Bird Seed Mix,Flats field.1941,2,Spray,Completed,2016-07-13,2,ha,1
1299,Grass,Ley,Flats field.1941,2,34.5%n,Completed,2017-03-10,568.392,kg,284.2
1301,Grass,Ley,Flats field.1941,2,Fert Spread,Completed,2017-03-10,2,ha,1
1300,Grass,Ley,Flats field.1941,2,Doxstar Pro,Completed,2017-04-10,4,L,2
1302,Grass,Ley,Flats field.1941,2,Spray,Completed,2017-04-10,2,ha,1
1303,Grass,Ley,Flats field.1941,2,Thistlex,Completed,2017-04-10,2,L,1
