"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"1323","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","09/03/2010","341.54","kg","112.72"
"1324","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","26/05/2010","374.49","kg","123.59"
"1325","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","07/03/2011","537.588","kg","177.42"
"1326","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","24/04/2011","215.311","kg","71.06"
"1327","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","29/02/2012","348.45","kg","115"
"1328","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","22/03/2012","530.25","kg","175"
"1329","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","20/02/2013","418.14","kg","138"
"1330","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","07/06/2013","515.1","kg","170"
"1331","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","25/08/2013","348.45","kg","115"
"1332","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","01/03/2014","348.45","kg","115"
"1333","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","06/04/2015","424.2","kg","140"
"1334","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","10/03/2017","451.902","kg","149.14"
"1335","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"34.5%n","Completed","19/06/2017","447.232","kg","147.6"
"1336","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Bale/wrapping","Completed","13/06/2006","0","Bale","0"
"1337","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Baling-Round","Completed","13/06/2006","0","Bale","0"
"1338","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","09/03/2010","3.03","ha","1"
"1339","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","26/05/2010","3.03","ha","1"
"1340","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","07/03/2011","3.03","ha","1"
"1341","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","24/04/2011","3.03","ha","1"
"1342","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","29/02/2012","3.03","ha","1"
"1343","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","22/03/2012","3.03","ha","1"
"1344","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","20/02/2013","3.03","ha","1"
"1345","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","07/06/2013","3.03","ha","1"
"1346","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","25/08/2013","3.03","ha","1"
"1347","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","01/03/2014","3.03","ha","1"
"1348","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","06/04/2015","3.03","ha","1"
"1349","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","16/03/2016","3.03","ha","1"
"1350","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","27/04/2016","3.03","ha","1"
"1351","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","10/03/2017","3.03","ha","1"
"1352","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","07/04/2017","3.03","ha","1"
"1353","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Fert Spread","Completed","19/06/2017","3.03","ha","1"
"1354","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Headley Hall cut & graze (6/7yrs)","Completed","05/09/2011","16.526","kg","5.45"
"1355","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Pastor","Completed","10/04/2010","8.51","L","2.81"
"1356","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Pastor","Completed","04/05/2011","6.03","L","1.99"
"1357","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Pastor","Completed","02/05/2017","3.03","L","1"
"1358","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Pig Slurry","Completed","15/03/2011","106.05","m3","35"
"1359","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Slurry Inject","Completed","15/03/2011","3.03","m3","1"
"1360","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Spray","Completed","10/04/2010","3.03","ha","1"
"1361","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Spray","Completed","04/05/2011","3.03","ha","1"
"1362","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Spray","Completed","02/05/2017","3.03","ha","1"
"1363","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Sprays rebate 2017- 18","Completed","29/09/2011","-17.818","GBP","-5.88"
"1364","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Urea 46%","Completed","16/03/2016","393.9","kg","130"
"1365","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Urea 46%","Completed","27/04/2016","277.557","kg","91.6"
"1366","Grass","Permanent Pastu","Hanger Paddock.8341",3.03,"Urea 46%","Completed","07/04/2017","540.507","kg","178.39"
