"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"723","Barley Winter","Cassia","Hill Side.4442",5.48,"34.5%n","Completed","04/04/2013","1589.2","kg","290"
"724","Barley Winter","Cassia","Hill Side.4442",5.48,"34.5%n","Completed","17/05/2013","630.2","kg","115"
"725","Barley Winter","Cassia","Hill Side.4442",5.48,"34.5%n","Completed","07/04/2017","1205.6","kg","220"
"726","Barley Winter","Cassia","Hill Side.4442",5.48,"34.5%n","Completed","27/04/2017","1041.2","kg","190"
"727","Barley Winter","Cassia","Hill Side.4442",5.48,"3C Chlormequat 720","Completed","21/04/2013","12.056","L","2.2"
"728","Barley Winter","Cassia","Hill Side.4442",5.48,"Ally Max SX","Completed","20/05/2013","219.2","g","40"
"729","Barley Winter","Cassia","Hill Side.4442",5.48,"Barley-Feed","Completed","25/07/2013","42.277","t","7.71"
"730","Barley Winter","Cassia","Hill Side.4442",5.48,"Barley-Feed","Completed","25/07/2017","45.53","t","8.31"
"731","Barley Winter","Cassia","Hill Side.4442",5.48,"BASF 3C Chlormequat 750","Completed","31/10/2016","3.861","L","0.7"
"732","Barley Winter","Cassia","Hill Side.4442",5.48,"BASF 3C Chlormequat 750","Completed","25/03/2017","10.96","L","2"
"733","Barley Winter","Cassia","Hill Side.4442",5.48,"Cassia WB","Completed","07/10/2012","986.4","kg","180"
"734","Barley Winter","Cassia","Hill Side.4442",5.48,"Cassia WB","Completed","23/09/2016","999.035","kg","182.31"
"735","Barley Winter","Cassia","Hill Side.4442",5.48,"Clayton Spigot","Completed","31/10/2016","1.93","L","0.35"
"736","Barley Winter","Cassia","Hill Side.4442",5.48,"Clayton Spigot","Completed","25/03/2017","1.644","L","0.3"
"737","Barley Winter","Cassia","Hill Side.4442",5.48,"Combi Drill","Completed","07/10/2012","5.48","ha","1"
"738","Barley Winter","Cassia","Hill Side.4442",5.48,"Combine","Completed","25/07/2013","5.48","ha","1"
"739","Barley Winter","Cassia","Hill Side.4442",5.48,"Combine","Completed","25/07/2017","5.48","ha","1"
"740","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","21/02/2013","5.48","ha","1"
"741","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","22/02/2013","5.48","ha","1"
"742","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","04/04/2013","5.48","ha","1"
"743","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","17/05/2013","5.48","ha","1"
"744","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","25/07/2013","5.48","ha","1"
"745","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","26/08/2016","5.48","ha","1"
"746","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","21/02/2017","5.48","ha","1"
"747","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","13/03/2017","5.48","ha","1"
"748","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","07/04/2017","5.48","ha","1"
"749","Barley Winter","Cassia","Hill Side.4442",5.48,"Fert Spread","Completed","27/04/2017","5.48","ha","1"
"750","Barley Winter","Cassia","Hill Side.4442",5.48,"Gala","Completed","20/05/2013","2.74","L","0.5"
"751","Barley Winter","Cassia","Hill Side.4442",5.48,"Headland Manganese 15%","Completed","21/04/2013","11.236","L","2.05"
"752","Barley Winter","Cassia","Hill Side.4442",5.48,"Justice","Completed","21/04/2013","0.685","L","0.13"
"753","Barley Winter","Cassia","Hill Side.4442",5.48,"Karate 2.5 WG","Completed","31/10/2016","0.483","kg","0.09"
"754","Barley Winter","Cassia","Hill Side.4442",5.48,"Kayak","Completed","31/10/2016","2.413","L","0.44"
"755","Barley Winter","Cassia","Hill Side.4442",5.48,"Kayak","Completed","25/03/2017","3.288","L","0.6"
"756","Barley Winter","Cassia","Hill Side.4442",5.48,"Kendo","Completed","31/05/2013","0.548","L","0.1"
"757","Barley Winter","Cassia","Hill Side.4442",5.48,"Lambdastar","Completed","18/05/2017","0.29","L","0.05"
"758","Barley Winter","Cassia","Hill Side.4442",5.48,"LI-700","Completed","31/10/2016","2.895","L","0.53"
"759","Barley Winter","Cassia","Hill Side.4442",5.48,"Liberator","Completed","20/10/2012","3.288","L","0.6"
"760","Barley Winter","Cassia","Hill Side.4442",5.48,"Liberator","Completed","01/10/2016","3.288","L","0.6"
"761","Barley Winter","Cassia","Hill Side.4442",5.48,"MOP","Completed","22/02/2013","904.2","kg","165"
"762","Barley Winter","Cassia","Hill Side.4442",5.48,"MOP","Completed","13/03/2017","1008.525","kg","184.04"
"763","Barley Winter","Cassia","Hill Side.4442",5.48,"Ploughing","Completed","30/08/2012","5.48","ha","1"
"764","Barley Winter","Cassia","Hill Side.4442",5.48,"Ploughing","Completed","05/09/2016","5.48","ha","1"
"765","Barley Winter","Cassia","Hill Side.4442",5.48,"Roll","Completed","23/09/2016","5.48","ha","1"
"766","Barley Winter","Cassia","Hill Side.4442",5.48,"Siltra Xpro","Completed","21/04/2013","3.288","L","0.6"
"767","Barley Winter","Cassia","Hill Side.4442",5.48,"Siltra Xpro","Completed","31/05/2013","2.192","L","0.4"
"768","Barley Winter","Cassia","Hill Side.4442",5.48,"Siltra Xpro","Completed","22/04/2017","3.288","L","0.6"
"769","Barley Winter","Cassia","Hill Side.4442",5.48,"Siltra Xpro","Completed","18/05/2017","3.288","L","0.6"
"770","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","20/10/2012","5.48","ha","1"
"771","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","21/04/2013","5.48","ha","1"
"772","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","20/05/2013","5.48","ha","1"
"773","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","31/05/2013","5.48","ha","1"
"774","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","01/10/2016","5.48","ha","1"
"775","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","31/10/2016","5.48","ha","1"
"776","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","25/03/2017","5.48","ha","1"
"777","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","13/04/2017","5.48","ha","1"
"778","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","22/04/2017","5.48","ha","1"
"779","Barley Winter","Cassia","Hill Side.4442",5.48,"Spray","Completed","18/05/2017","5.48","ha","1"
"780","Barley Winter","Cassia","Hill Side.4442",5.48,"Starane Hi-Load HL","Completed","13/04/2017","2.74","L","0.5"
"781","Barley Winter","Cassia","Hill Side.4442",5.48,"Starane XL","Completed","22/04/2017","5.48","L","1"
"782","Barley Winter","Cassia","Hill Side.4442",5.48,"Sulphur +","Completed","21/02/2013","767.2","kg","140"
"783","Barley Winter","Cassia","Hill Side.4442",5.48,"Tempo","Completed","13/04/2017","0.548","L","0.1"
"784","Barley Winter","Cassia","Hill Side.4442",5.48,"Terpal","Completed","22/04/2017","8.22","L","1.5"
"785","Barley Winter","Cassia","Hill Side.4442",5.48,"TSP 46%","Completed","26/08/2016","1009.584","kg","184.23"
"786","Barley Winter","Cassia","Hill Side.4442",5.48,"Urea Blend 33%N 30SO3","Completed","21/02/2017","1013.8","kg","185"
"787","Barley Winter","Cassia","Hill Side.4442",5.48,"Vaderstad Drill","Completed","23/09/2016","5.48","ha","1"
"788","Barley Winter","Cassia","Hill Side.4442",5.48,"Watkins 4m Press","Completed","10/09/2016","5.48","ha","1"
"1729","Rape Winter","Flash","Hill Side.4442",5.48,"0-24-24","Completed","01/04/2010","1901.19","kg","346.93"
"1730","Rape Winter","Flash","Hill Side.4442",5.48,"34.5%n","Completed","14/09/2009","517.64","kg","94.46"
"1731","Rape Winter","Flash","Hill Side.4442",5.48,"34.5%n","Completed","08/03/2010","778.84","kg","142.12"
"1732","Rape Winter","Flash","Hill Side.4442",5.48,"34.5%n","Completed","14/04/2010","1138.8","kg","207.81"
"1733","Rape Winter","Flash","Hill Side.4442",5.48,"Boron 15%","Completed","29/10/2009","9.24","L","1.69"
"1734","Rape Winter","Flash","Hill Side.4442",5.48,"Centium 360 CS","Completed","04/09/2009","1.05","L","0.19"
"1735","Rape Winter","Flash","Hill Side.4442",5.48,"Clinic Ace","Completed","15/07/2010","14.08","L","2.57"
"1736","Rape Winter","Flash","Hill Side.4442",5.48,"Clipper","Completed","28/08/2009","16.77","L","3.06"
"1737","Rape Winter","Flash","Hill Side.4442",5.48,"Cypermetherin","Completed","26/09/2009","1.37","L","0.25"
"1738","Rape Winter","Flash","Hill Side.4442",5.48,"Duro","Completed","14/09/2009","27.4","kg","5"
"1739","Rape Winter","Flash","Hill Side.4442",5.48,"Duro","Completed","29/09/2009","27.4","kg","5"
"1740","Rape Winter","Flash","Hill Side.4442",5.48,"Fert Spread","Completed","08/03/2010","5.48","ha","1"
"1741","Rape Winter","Flash","Hill Side.4442",5.48,"Fert Spread","Completed","01/04/2010","5.48","ha","1"
"1742","Rape Winter","Flash","Hill Side.4442",5.48,"Fert Spread","Completed","14/04/2010","5.48","ha","1"
"1743","Rape Winter","Flash","Hill Side.4442",5.48,"Filan","Completed","05/05/2010","2.74","kg","0.5"
"1744","Rape Winter","Flash","Hill Side.4442",5.48,"Flash OSR","Completed","02/09/2009","5.48","ha","1"
"1745","Rape Winter","Flash","Hill Side.4442",5.48,"Fusilade Max","Completed","26/09/2009","5.28","L","0.96"
"1746","Rape Winter","Flash","Hill Side.4442",5.48,"Hallmark With Zeon Technology","Completed","10/04/2010","0.6","L","0.11"
"1747","Rape Winter","Flash","Hill Side.4442",5.48,"Harvesan","Completed","29/10/2009","2.56","L","0.47"
"1748","Rape Winter","Flash","Hill Side.4442",5.48,"Heavy Disc","Completed","30/08/2009","5.48","ha","1"
"1749","Rape Winter","Flash","Hill Side.4442",5.48,"Novall","Completed","04/09/2009","10.56","L","1.93"
"1750","Rape Winter","Flash","Hill Side.4442",5.48,"Osr","Completed","01/08/2010","28.17","t","5.14"
"1751","Rape Winter","Flash","Hill Side.4442",5.48,"Permasect C","Completed","29/10/2009","1.41","L","0.26"
"1752","Rape Winter","Flash","Hill Side.4442",5.48,"Pod Stik","Completed","15/07/2010","5.28","L","0.96"
"1753","Rape Winter","Flash","Hill Side.4442",5.48,"Roll","Completed","02/09/2009","5.48","ha","1"
"1754","Rape Winter","Flash","Hill Side.4442",5.48,"Spray","Completed","28/08/2009","5.48","ha","1"
"1755","Rape Winter","Flash","Hill Side.4442",5.48,"Spray","Completed","04/09/2009","5.48","ha","1"
"1756","Rape Winter","Flash","Hill Side.4442",5.48,"Spray","Completed","26/09/2009","5.48","ha","1"
"1757","Rape Winter","Flash","Hill Side.4442",5.48,"Spray","Completed","29/10/2009","5.48","ha","1"
"1758","Rape Winter","Flash","Hill Side.4442",5.48,"Spray","Completed","10/04/2010","5.48","ha","1"
"1759","Rape Winter","Flash","Hill Side.4442",5.48,"Spray","Completed","05/05/2010","5.48","ha","1"
"1760","Rape Winter","Flash","Hill Side.4442",5.48,"Spray","Completed","15/07/2010","5.48","ha","1"
"1761","Rape Winter","Flash","Hill Side.4442",5.48,"Spryte Aqua","Completed","28/08/2009","2.86","L","0.52"
"1762","Rape Winter","Flash","Hill Side.4442",5.48,"Subsoil","Completed","30/08/2009","5.48","ha","1"
"1763","Rape Winter","Flash","Hill Side.4442",5.48,"Sulphur +","Completed","01/04/2010","1644","kg","300"
"1764","Rape Winter","Flash","Hill Side.4442",5.48,"Sunorg Pro","Completed","10/04/2010","2.09","L","0.38"
"1765","Rape Winter","Flash","Hill Side.4442",5.48,"Vaderstad Drill","Completed","02/09/2009","5.48","ha","1"
"1902","Rape Winter","Hear","Hill Side.4442",5.48,"34.5%n","Completed","23/08/2013","493.2","kg","90"
"1903","Rape Winter","Hear","Hill Side.4442",5.48,"34.5%n","Completed","22/03/2014","1890.6","kg","345"
"1904","Rape Winter","Hear","Hill Side.4442",5.48,"Azural","Completed","11/07/2014","16.44","L","3"
"1905","Rape Winter","Hear","Hill Side.4442",5.48,"Boron 15%","Completed","13/03/2014","5.535","L","1.01"
"1906","Rape Winter","Hear","Hill Side.4442",5.48,"Centium 360 CS","Completed","21/08/2013","1.046","L","0.19"
"1907","Rape Winter","Hear","Hill Side.4442",5.48,"Combi Drill","Completed","18/08/2013","5.48","ha","1"
"1908","Rape Winter","Hear","Hill Side.4442",5.48,"Combine","Completed","26/07/2014","5.48","ha","1"
"1909","Rape Winter","Hear","Hill Side.4442",5.48,"Fert Spread","Completed","23/08/2013","5.48","ha","1"
"1910","Rape Winter","Hear","Hill Side.4442",5.48,"Fert Spread","Completed","27/02/2014","5.48","ha","1"
"1911","Rape Winter","Hear","Hill Side.4442",5.48,"Fert Spread","Completed","22/03/2014","5.48","ha","1"
"1912","Rape Winter","Hear","Hill Side.4442",5.48,"Fusilade Max","Completed","02/09/2013","5.325","L","0.97"
"1913","Rape Winter","Hear","Hill Side.4442",5.48,"Harvesan","Completed","02/09/2013","3.043","L","0.56"
"1914","Rape Winter","Hear","Hill Side.4442",5.48,"HEAR OSR","Completed","18/08/2013","1.826","ha","0.33"
"1915","Rape Winter","Hear","Hill Side.4442",5.48,"Karate 2.5 WG","Completed","17/10/2013","0.761","kg","0.14"
"1916","Rape Winter","Hear","Hill Side.4442",5.48,"Naspar TDI","Completed","21/08/2013","8.139","L","1.49"
"1917","Rape Winter","Hear","Hill Side.4442",5.48,"Osr","Completed","26/07/2014","17.551","t","3.2"
"1918","Rape Winter","Hear","Hill Side.4442",5.48,"Permasect C","Completed","02/09/2013","1.37","L","0.25"
"1919","Rape Winter","Hear","Hill Side.4442",5.48,"Pod Stik","Completed","11/07/2014","5.48","L","1"
"1920","Rape Winter","Hear","Hill Side.4442",5.48,"Proline","Completed","19/04/2014","3.552","L","0.65"
"1921","Rape Winter","Hear","Hill Side.4442",5.48,"Spray","Completed","21/08/2013","5.48","ha","1"
"1922","Rape Winter","Hear","Hill Side.4442",5.48,"Spray","Completed","02/09/2013","5.48","ha","1"
"1923","Rape Winter","Hear","Hill Side.4442",5.48,"Spray","Completed","17/10/2013","5.48","ha","1"
"1924","Rape Winter","Hear","Hill Side.4442",5.48,"Spray","Completed","13/03/2014","5.48","ha","1"
"1925","Rape Winter","Hear","Hill Side.4442",5.48,"Spray","Completed","19/04/2014","5.48","ha","1"
"1926","Rape Winter","Hear","Hill Side.4442",5.48,"Spray","Completed","11/07/2014","5.48","ha","1"
"1927","Rape Winter","Hear","Hill Side.4442",5.48,"Sulphur +","Completed","27/02/2014","762.838","kg","139.2"
"1928","Rape Winter","Hear","Hill Side.4442",5.48,"Sumo","Completed","18/08/2013","5.48","ha","1"
"1929","Rape Winter","Hear","Hill Side.4442",5.48,"Sunorg Pro","Completed","17/10/2013","2.192","L","0.4"
"1930","Rape Winter","Hear","Hill Side.4442",5.48,"Sunorg Pro","Completed","13/03/2014","2.282","L","0.42"
"1931","Rape Winter","Hear","Hill Side.4442",5.48,"Tempt","Completed","28/09/2013","27.4","kg","5"
"2728","Wheat Winter","Cordiale","Hill Side.4442",5.48,"34.5%n","Completed","28/02/2009","628.63","kg","114.71"
"2729","Wheat Winter","Cordiale","Hill Side.4442",5.48,"34.5%n","Completed","16/04/2009","1347.06","kg","245.81"
"2730","Wheat Winter","Cordiale","Hill Side.4442",5.48,"34.5%n","Completed","03/06/2009","685","kg","125"
"2731","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Adigor","Completed","20/05/2009","5.48","L","1"
"2732","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Axial","Completed","20/05/2009","1.92","L","0.35"
"2733","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Biplay PX","Completed","20/05/2009","202.76","g","37"
"2734","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Combine","Completed","29/08/2009","5.48","ha","1"
"2735","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Contractor Combi Drilling","Completed","05/11/2008","5.48","ha","1"
"2736","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Cordiale WW","Completed","05/11/2008","986.4","kg","180"
"2737","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Diamant","Completed","09/06/2009","3.29","L","0.6"
"2738","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Fert Spread","Completed","28/02/2009","5.48","ha","1"
"2739","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Fert Spread","Completed","16/04/2009","5.48","ha","1"
"2740","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Fert Spread","Completed","03/06/2009","5.48","ha","1"
"2741","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Hiker","Completed","20/05/2009","2.74","L","0.5"
"2742","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Instinct","Completed","09/06/2009","1.37","L","0.25"
"2743","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Manipulator","Completed","20/05/2009","4.38","L","0.8"
"2744","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Mantra","Completed","20/05/2009","5.48","L","1"
"2745","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Octolan","Completed","09/06/2009","5.48","L","1"
"2746","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Plough/h","Completed","30/10/2008","5.48","ha","1"
"2747","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Prosaro","Completed","09/06/2009","3.29","L","0.6"
"2748","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Spraying","Completed","20/05/2009","5.48","ha","1"
"2749","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Spraying","Completed","09/06/2009","5.48","ha","1"
"2750","Wheat Winter","Cordiale","Hill Side.4442",5.48,"Wheat","Completed","01/09/2009","38.55","t","7.03"
