"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"5316","Wheat Winter","Relay","Little Chef",13.5,"34.5%n","Completed","07/04/2017","2970","kg","220"
"5317","Wheat Winter","Relay","Little Chef",13.5,"34.5%n","Completed","27/04/2017","2565","kg","190"
"5318","Wheat Winter","Relay","Little Chef",13.5,"Adigor","Completed","10/04/2017","6.75","L","0.5"
"5319","Wheat Winter","Relay","Little Chef",13.5,"BASF 3C Chlormequat 750","Completed","24/03/2017","21.6","L","1.6"
"5320","Wheat Winter","Relay","Little Chef",13.5,"Belcocel 700","Completed","22/04/2017","8.1","L","0.6"
"5321","Wheat Winter","Relay","Little Chef",13.5,"Bravo 500","Completed","22/04/2017","13.5","L","1"
"5322","Wheat Winter","Relay","Little Chef",13.5,"Bugle","Completed","30/05/2017","13.5","L","1"
"5323","Wheat Winter","Relay","Little Chef",13.5,"Clayton Turret","Completed","24/03/2017","13.5","L","1"
"5324","Wheat Winter","Relay","Little Chef",13.5,"Combine","Completed","11/08/2017","13.5","ha","1"
"5325","Wheat Winter","Relay","Little Chef",13.5,"Crystal","Completed","01/10/2016","27","L","2"
"5326","Wheat Winter","Relay","Little Chef",13.5,"Fathom","Completed","24/03/2017","10.125","L","0.75"
"5327","Wheat Winter","Relay","Little Chef",13.5,"Fert Spread","Completed","10/03/2017","13.5","ha","1"
"5328","Wheat Winter","Relay","Little Chef",13.5,"Fert Spread","Completed","13/03/2017","13.5","ha","1"
"5329","Wheat Winter","Relay","Little Chef",13.5,"Fert Spread","Completed","07/04/2017","13.5","ha","1"
"5330","Wheat Winter","Relay","Little Chef",13.5,"Fert Spread","Completed","27/04/2017","13.5","ha","1"
"5331","Wheat Winter","Relay","Little Chef",13.5,"Firefly 155","Completed","22/04/2017","16.875","L","1.25"
"5332","Wheat Winter","Relay","Little Chef",13.5,"Firefly 155","Completed","14/06/2017","16.875","L","1.25"
"5333","Wheat Winter","Relay","Little Chef",4,"Gusto 3","Completed","01/11/2016","14","kg","3.5"
"5334","Wheat Winter","Relay","Little Chef",13.5,"Justice","Completed","08/11/2016","1.688","L","0.13"
"5335","Wheat Winter","Relay","Little Chef",13.5,"Justice","Completed","24/03/2017","1.688","L","0.13"
"5336","Wheat Winter","Relay","Little Chef",13.5,"Karate 2.5 WG","Completed","08/11/2016","2.025","kg","0.15"
"5337","Wheat Winter","Relay","Little Chef",13.5,"Lambdastar","Completed","30/05/2017","0.681","L","0.05"
"5338","Wheat Winter","Relay","Little Chef",13.5,"Lambdastar","Completed","14/06/2017","0.675","L","0.05"
"5339","Wheat Winter","Relay","Little Chef",13.5,"Lexus SX","Completed","01/10/2016","270","g","20"
"5340","Wheat Winter","Relay","Little Chef",13.5,"MOP","Completed","13/03/2017","2484.504","kg","184.04"
"5341","Wheat Winter","Relay","Little Chef",13.5,"Osiris P","Completed","30/05/2017","10.125","L","0.75"
"5342","Wheat Winter","Relay","Little Chef",13.5,"Pixxaro EC","Completed","13/04/2017","6.75","L","0.5"
"5343","Wheat Winter","Relay","Little Chef",13.5,"Relay WW","Completed","26/09/2016","2025","kg","150"
"5344","Wheat Winter","Relay","Little Chef",13.5,"Roll","Completed","28/09/2016","13.5","ha","1"
"5345","Wheat Winter","Relay","Little Chef",4,"Slug Pelleting","Completed","01/11/2016","4","ha","1"
"5346","Wheat Winter","Relay","Little Chef",13.5,"Spitfire","Completed","08/11/2016","5.879","L","0.44"
"5347","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","01/10/2016","13.5","ha","1"
"5348","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","08/11/2016","13.5","ha","1"
"5349","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","24/03/2017","13.5","ha","1"
"5350","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","10/04/2017","13.5","ha","1"
"5351","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","13/04/2017","13.5","ha","1"
"5352","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","22/04/2017","13.5","ha","1"
"5353","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","17/05/2017","13.5","ha","1"
"5354","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","30/05/2017","13.5","ha","1"
"5355","Wheat Winter","Relay","Little Chef",13.5,"Spray","Completed","14/06/2017","13.5","ha","1"
"5356","Wheat Winter","Relay","Little Chef",13.5,"Spryte Aqua","Completed","13/04/2017","6.75","L","0.5"
"5357","Wheat Winter","Relay","Little Chef",13.5,"Starane XL","Completed","22/04/2017","23.625","L","1.75"
"5358","Wheat Winter","Relay","Little Chef",13.5,"Sumo","Completed","01/09/2016","13.5","ha","1"
"5359","Wheat Winter","Relay","Little Chef",13.5,"Terpal","Completed","17/05/2017","16.875","L","1.25"
"5360","Wheat Winter","Relay","Little Chef",13.5,"Topik","Completed","10/04/2017","2.7","L","0.2"
"5361","Wheat Winter","Relay","Little Chef",13.5,"Urea Blend 33%N 30SO3","Completed","10/03/2017","2497.5","kg","185"
"5362","Wheat Winter","Relay","Little Chef",13.5,"Vaderstad Drill","Completed","26/09/2016","13.5","ha","1"
"5363","Wheat Winter","Relay","Little Chef",5,"Watkins 4m Press","Completed","24/09/2016","5","ha","1"
"5364","Wheat Winter","Relay","Little Chef",13.5,"Wheat","Completed","11/08/2017","134.865","t","9.99"
