"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"1249","Grass","Grass","Little Chef Paddock.4544",6.55,"Azural","Completed","01/06/2014","20","L","3.05"
"1250","Grass","Grass","Little Chef Paddock.4544",6.55,"Spray","Completed","01/06/2014","6.55","ha","1"
"3497","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"0.26.26","Completed","10/03/2015","2020.999","kg","308.55"
"3498","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"34.5%n","Completed","06/04/2015","1146.25","kg","175"
"3499","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"34.5%n","Completed","01/05/2015","753.25","kg","115"
"3500","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"3C Chlormequat 750","Completed","02/04/2015","10.538","L","1.61"
"3501","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"Ally Max SX","Completed","04/05/2015","262","g","40"
"3502","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"Aphox","Completed","21/06/2015","1.834","kg","0.28"
"3503","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"Azural","Completed","12/08/2014","16.375","L","2.5"
"3504","Wheat Winter","JB Diego","Little Chef Paddock.4544",13.1,"Azural","Completed","20/09/2014","32.75","L","2.5"
"3505","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"BASF 3C Chlormequat 750","Completed","04/05/2015","3.865","L","0.59"
"3506","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"Bravo 500","Completed","02/04/2015","6.257","L","0.96"
"3507","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"Bravo 500","Completed","04/05/2015","6.55","L","1"
"3508","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"Combine","Completed","29/08/2015","6.55","ha","1"
"3509","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"Dursban WG","Completed","12/08/2014","6.55","kg","1"
"3510","Wheat Winter","JB Diego","Little Chef Paddock.4544",13.1,"Fert Spread","Completed","10/03/2015","13.1","ha","1"
"3511","Wheat Winter","JB Diego","Little Chef Paddock.4544",6.55,"Fert Spread","Completed","06/04/2015","6.55","ha","1"
