"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"2009","Rape Winter","Marcant","Little sub station.4381",2.94,"0-24-24","Completed","13/09/2010","592.213","kg","201.43"
"2010","Rape Winter","Marcant","Little sub station.4381",5.88,"34.5%n","Completed","19/04/2011","1017.326","kg","173.01"
"2011","Rape Winter","Marcant","Little sub station.4381",2.94,"Boron 15%","Completed","21/10/2010","4.028","L","1.37"
"2012","Rape Winter","Marcant","Little sub station.4381",2.94,"Centium 360 CS","Completed","13/09/2010","0.58","L","0.2"
"2013","Rape Winter","Marcant","Little sub station.4381",0.5,"Clinic Ace","Completed","13/09/2010","2","L","4"
"2014","Rape Winter","Marcant","Little sub station.4381",2.94,"Combine","Completed","15/08/2011","2.94","ha","1"
"2015","Rape Winter","Marcant","Little sub station.4381",2.94,"Duro","Completed","13/09/2010","8.66","kg","2.95"
"2016","Rape Winter","Marcant","Little sub station.4381",2.94,"Enzo","Completed","02/10/2010","11.76","kg","4"
"2017","Rape Winter","Marcant","Little sub station.4381",2.94,"Falcon","Completed","02/10/2010","1.47","L","0.5"
"2018","Rape Winter","Marcant","Little sub station.4381",5.88,"Fert Spread","Completed","13/09/2010","5.88","ha","1"
"2019","Rape Winter","Marcant","Little sub station.4381",2.94,"Fert Spread","Completed","02/10/2010","2.94","ha","1"
"2020","Rape Winter","Marcant","Little sub station.4381",2.94,"Fert Spread","Completed","05/03/2011","2.94","ha","1"
"2021","Rape Winter","Marcant","Little sub station.4381",5.88,"Fert Spread","Completed","19/04/2011","5.88","ha","1"
"2022","Rape Winter","Marcant","Little sub station.4381",2.94,"Fusilade Max","Completed","21/10/2010","2.205","L","0.75"
"2023","Rape Winter","Marcant","Little sub station.4381",2.94,"Hallmark With Zeon Technology","Completed","18/04/2011","0.42","L","0.14"
"2024","Rape Winter","Marcant","Little sub station.4381",2.94,"Hallmark With Zeon Technology","Completed","06/05/2011","0.42","L","0.14"
"2025","Rape Winter","Marcant","Little sub station.4381",2.94,"Harvesan","Completed","21/10/2010","1.705","L","0.58"
"2026","Rape Winter","Marcant","Little sub station.4381",2.94,"Karate 2.5 WG","Completed","21/10/2010","0.294","kg","0.1"
"2027","Rape Winter","Marcant","Little sub station.4381",2.94,"Marcant Hear Os","Completed","11/09/2010","7.56","kg","2.57"
"2028","Rape Winter","Marcant","Little sub station.4381",2.94,"Novall","Completed","13/09/2010","5.78","L","1.97"
"2029","Rape Winter","Marcant","Little sub station.4381",2.94,"Nufosate Ace","Completed","19/07/2011","10.73","L","3.65"
"2030","Rape Winter","Marcant","Little sub station.4381",2.94,"Osr","Completed","15/08/2011","9.517","t","3.24"
"2031","Rape Winter","Marcant","Little sub station.4381",2.94,"Permasect C","Completed","02/10/2010","0.813","L","0.28"
"2032","Rape Winter","Marcant","Little sub station.4381",2.94,"Pod Stik","Completed","19/07/2011","3.219","L","1.09"
"2033","Rape Winter","Marcant","Little sub station.4381",2.94,"Proline","Completed","06/05/2011","1.323","L","0.45"
"2034","Rape Winter","Marcant","Little sub station.4381",2.94,"Roll","Completed","12/09/2010","2.94","ha","1"
"2035","Rape Winter","Marcant","Little sub station.4381",2.94,"Simba Solo","Completed","11/09/2010","2.94","ha","1"
"2036","Rape Winter","Marcant","Little sub station.4381",3.44,"Spray","Completed","13/09/2010","3.44","ha","1"
"2037","Rape Winter","Marcant","Little sub station.4381",2.94,"Spray","Completed","02/10/2010","2.94","ha","1"
"2038","Rape Winter","Marcant","Little sub station.4381",2.94,"Spray","Completed","21/10/2010","2.94","ha","1"
