,Crop.Group,Variety,Field.Defined.Name,Application.Area.ha,Product.Name,Status,Actual.Issued.Date,Quantity,Units,Rate.per.Application.Area.ha
1251,Grass,Grass,Lower Little Chef Paddock.5431,3.11,Bale/wrapping,Completed,13/06/2006,0,Bale,0
1252,Grass,Grass,5431 Lower Little Chef Paddock.5431,3.11,Baling-Round,Completed,13/06/2006,0,Bale,0
1253,Grass,Grass,5431 Lower Little Chef Paddock.5431,6.2,Pastor,Completed,31/05/2014,18.6,L,3
1254,Grass,Grass,5431 Lower Little Chef Paddock.5431,6.2,Spray,Completed,31/05/2014,6.2,ha,1
3598,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,0.26.26,Completed,10/03/2015,959.589,kg,308.55
3599,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,34.5%n,Completed,06/04/2015,544.25,kg,175
3600,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,34.5%n,Completed,01/05/2015,357.65,kg,115
3601,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,3C Chlormequat 750,Completed,02/04/2015,5.004,L,1.61
3602,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Ally Max SX,Completed,04/05/2015,124.4,g,40
3603,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Aphox,Completed,21/06/2015,0.871,kg,0.28
3604,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Azural,Completed,12/08/2014,7.775,L,2.5
3605,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,6.22,Azural,Completed,20/09/2014,15.55,L,2.5
3606,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,BASF 3C Chlormequat 750,Completed,04/05/2015,1.835,L,0.59
3607,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Bravo 500,Completed,02/04/2015,2.971,L,0.96
3608,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Bravo 500,Completed,04/05/2015,3.11,L,1
3609,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Combine,Completed,29/08/2015,3.11,ha,1
3610,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Dursban WG,Completed,12/08/2014,3.11,kg,1
3611,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,6.22,Fert Spread,Completed,10/03/2015,6.22,ha,1
3612,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Fert Spread,Completed,06/04/2015,3.11,ha,1
3613,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Fert Spread,Completed,01/05/2015,3.11,ha,1
3614,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Fert Spread,Completed,04/05/2015,3.11,ha,1
3615,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Firefly 155,Completed,21/06/2015,3.11,L,1
3616,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Headland Manganese 15%,Completed,02/04/2015,4.778,L,1.54
3617,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Imtrex,Completed,20/05/2015,3.888,L,1.25
3618,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,JB Diego WW,Completed,21/09/2014,551.248,kg,177.25
3619,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Joules,Completed,20/05/2015,3.11,L,1
3620,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Joules,Completed,21/06/2015,3.11,L,1
3621,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,6.22,Justice,Completed,06/11/2014,0.815,L,0.13
3622,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Justice,Completed,15/05/2015,0.389,L,0.13
3623,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Kendo,Completed,02/04/2015,0.281,L,0.09
3624,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Kendo,Completed,20/05/2015,0.311,L,0.1
3625,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,6.22,Liberator,Completed,24/09/2014,3.732,L,0.6
3626,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Osiris P,Completed,20/05/2015,2.333,L,0.75
3627,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,6.22,Permasect C,Completed,06/11/2014,1.555,L,0.25
3628,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Pig Slurry,Completed,01/08/2014,155.5,m3,50
3629,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Ploughing,Completed,12/08/2014,3.11,ha,1
3630,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Roll,Completed,12/08/2014,3.11,ha,1
3631,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Slurry Spread,Completed,01/08/2014,0.156,m3,0.05
3632,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Sparticus Xpro,Completed,04/05/2015,3.201,L,1.03
3633,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Spray,Completed,12/08/2014,3.11,ha,1
3634,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,6.22,Spray,Completed,20/09/2014,6.22,ha,1
3635,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,6.22,Spray,Completed,24/09/2014,6.22,ha,1
3636,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,6.22,Spray,Completed,06/11/2014,6.22,ha,1
3637,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Spray,Completed,02/04/2015,3.11,ha,1
3638,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Spray,Completed,15/05/2015,3.11,ha,1
3639,Wheat Winter,JB Diego,5431 Lower Little Chef Paddock.5431,3.11,Spray,Completed,20/05/2015,3.11,ha,1
