"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"1245","Grass","Grass","Pet Paddock.3038",2.88,"Bale/wrapping","Completed","13/06/2006","0","Bale","0"
"1246","Grass","Grass","Pet Paddock.3038",2.88,"Baling-Round","Completed","13/06/2006","0","Bale","0"
"1247","Grass","Grass","Pet Paddock.3038",5.73,"Pastor","Completed","31/05/2014","17.19","L","3"
"1248","Grass","Grass","Pet Paddock.3038",5.73,"Spray","Completed","31/05/2014","5.73","ha","1"
"1317","Grass","Permanent Pastu","Pet Paddock.3038",2.88,"Roundup Flex","Completed","13/07/2016","3.692","L","1.28"
"1318","Grass","Permanent Pastu","Pet Paddock.3038",2.88,"Spray","Completed","21/04/2016","2.88","ha","1"
"1319","Grass","Permanent Pastu","Pet Paddock.3038",2.88,"Spray","Completed","13/07/2016","2.88","ha","1"
"1320","Grass","Permanent Pastu","Pet Paddock.3038",2.88,"Spray rebate 15-16","Completed","31/07/2016","-10.803","GBP","-3.75"
"1321","Grass","Permanent Pastu","Pet Paddock.3038",2.88,"Spryte Aqua","Completed","21/04/2016","1.44","L","0.5"
"1322","Grass","Permanent Pastu","Pet Paddock.3038",2.88,"Vival","Completed","21/04/2016","10","L","3.47"
"5257","Wheat Winter","Relay","Pet Paddock.3038",2.88,"Fert Spread","Completed","26/08/2016","2.88","ha","1"
"5258","Wheat Winter","Relay","Pet Paddock.3038",2.88,"Roundup Flex","Completed","14/08/2016","1.069","L","0.37"
"5259","Wheat Winter","Relay","Pet Paddock.3038",2.88,"Spray","Completed","14/08/2016","2.88","ha","1"
"5260","Wheat Winter","Relay","Pet Paddock.3038",2.88,"Spryte Aqua","Completed","14/08/2016","0.356","L","0.12"
"5261","Wheat Winter","Relay","Pet Paddock.3038",2.88,"TSP 46%","Completed","26/08/2016","530.584","kg","184.23"
"5262","Wheat Winter","Relay","Pet Paddock.3038",2.88,"Vival","Completed","14/08/2016","2.851","L","0.99"
