"","Crop.Group","Variety","Field.Defined.Name","Fertiliser.Nutrient.Name","Actual.Issued.Date","Product.Name","Rate.per.Application.Area.ha","Units","Fertiliser.Nutrient.Rate.per.Working.Area"
"499","Grass","Ley","Pig ark.2498","K2O","07/02/2014","Pig Slurry",30,"m3",64.8
"501","Grass","Ley","Pig ark.2498","Manure NH4-N","07/02/2014","Pig Slurry",30,"m3",75.47
"503","Grass","Ley","Pig ark.2498","Manure Total K20","07/02/2014","Pig Slurry",30,"m3",72
"505","Grass","Ley","Pig ark.2498","Manure Total MgO","07/02/2014","Pig Slurry",30,"m3",21
"507","Grass","Ley","Pig ark.2498","Manure Total N","07/02/2014","Pig Slurry",30,"m3",108
"509","Grass","Ley","Pig ark.2498","Manure Total P205","07/02/2014","Pig Slurry",30,"m3",54
"511","Grass","Ley","Pig ark.2498","Manure Total SO3","07/02/2014","Pig Slurry",30,"m3",29.1
"513","Grass","Ley","Pig ark.2498","N","25/08/2013","34.5%n",115,"kg",39.68
"514","Grass","Ley","Pig ark.2498","N","07/02/2014","Pig Slurry",30,"m3",66
"515","Grass","Ley","Pig ark.2498","N","10/03/2014","34.5%n",115,"kg",39.68
"516","Grass","Ley","Pig ark.2498","N","24/03/2014","34.5%n",230,"kg",79.35
"517","Grass","Ley","Pig ark.2498","N","18/05/2014","34.5%n",275,"kg",94.88
"519","Grass","Ley","Pig ark.2498","P2O5","07/02/2014","Pig Slurry",30,"m3",27
"555","Grass","Permanent Pastu","Pig ark.2498","K2O","26/05/2015","Pig Slurry",10,"m3",3.6
"557","Grass","Permanent Pastu","Pig ark.2498","Manure NH4-N","26/05/2015","Pig Slurry",10,"m3",4.19
"559","Grass","Permanent Pastu","Pig ark.2498","Manure Total K20","26/05/2015","Pig Slurry",10,"m3",4
"561","Grass","Permanent Pastu","Pig ark.2498","Manure Total MgO","26/05/2015","Pig Slurry",10,"m3",1.17
"563","Grass","Permanent Pastu","Pig ark.2498","Manure Total N","26/05/2015","Pig Slurry",10,"m3",6
"565","Grass","Permanent Pastu","Pig ark.2498","Manure Total P205","26/05/2015","Pig Slurry",10,"m3",3
"567","Grass","Permanent Pastu","Pig ark.2498","Manure Total SO3","26/05/2015","Pig Slurry",10,"m3",1.62
"569","Grass","Permanent Pastu","Pig ark.2498","N","09/03/2010","34.5%n",112.72,"kg",6.48
"570","Grass","Permanent Pastu","Pig ark.2498","N","08/04/2010","34.5%n",228.87,"kg",13.16
"571","Grass","Permanent Pastu","Pig ark.2498","N","26/05/2010","34.5%n",123.59,"kg",7.11
"572","Grass","Permanent Pastu","Pig ark.2498","N","07/03/2011","34.5%n",177.42,"kg",10.2
"573","Grass","Permanent Pastu","Pig ark.2498","N","25/03/2011","34.5%n",200.92,"kg",11.55
"574","Grass","Permanent Pastu","Pig ark.2498","N","16/05/2011","34.5%n",261.86,"kg",15.06
"575","Grass","Permanent Pastu","Pig ark.2498","N","01/07/2011","34.5%n",115,"kg",6.61
"576","Grass","Permanent Pastu","Pig ark.2498","N","29/02/2012","34.5%n",115,"kg",6.61
"577","Grass","Permanent Pastu","Pig ark.2498","N","19/02/2013","34.5%n",138,"kg",7.93
"578","Grass","Permanent Pastu","Pig ark.2498","N","03/04/2013","34.5%n",230,"kg",13.23
"579","Grass","Permanent Pastu","Pig ark.2498","N","07/06/2013","34.5%n",275,"kg",15.81
"580","Grass","Permanent Pastu","Pig ark.2498","N","14/03/2015","34.5%n",280,"kg",16.1
"581","Grass","Permanent Pastu","Pig ark.2498","N","17/03/2015","34.5%n",115,"kg",6.61
"582","Grass","Permanent Pastu","Pig ark.2498","N","22/05/2015","34.5%n",175,"kg",10.06
"583","Grass","Permanent Pastu","Pig ark.2498","N","26/05/2015","Pig Slurry",10,"m3",3.67
"585","Grass","Permanent Pastu","Pig ark.2498","P2O5","26/05/2015","Pig Slurry",10,"m3",1.5
