"","Crop.Group","Variety","Field.Defined.Name","Fertiliser.Nutrient.Name","Actual.Issued.Date","Product.Name","Rate.per.Application.Area.ha","Units","Fertiliser.Nutrient.Rate.per.Working.Area"
"762","Rape Winter","Excalibur","Poppy field.6107","K2O","08/04/2009","0-24-24",200,"kg",48
"764","Rape Winter","Excalibur","Poppy field.6107","N","28/02/2009","34.5%n",114.72,"kg",39.58
"765","Rape Winter","Excalibur","Poppy field.6107","N","08/04/2009","34.5%n",275,"kg",94.88
"767","Rape Winter","Excalibur","Poppy field.6107","P2O5","08/04/2009","0-24-24",200,"kg",48
"1278","Unallocated","Leeds Uni","Poppy field.6107","CaO","13/07/2015","TSP 46%",151.45,"kg",22.72
"1280","Unallocated","Leeds Uni","Poppy field.6107","K2O","13/07/2015","TSP 46%",151.45,"kg",0
"1282","Unallocated","Leeds Uni","Poppy field.6107","N","13/07/2015","TSP 46%",151.45,"kg",0
"1284","Unallocated","Leeds Uni","Poppy field.6107","P2O5","13/07/2015","TSP 46%",151.45,"kg",69.67
"1374","Wheat Winter","Dickens","Poppy field.6107","N","10/03/2015","Sulphur +",140,"kg",40.6
"1375","Wheat Winter","Dickens","Poppy field.6107","N","06/04/2015","34.5%n",175,"kg",60.38
"1376","Wheat Winter","Dickens","Poppy field.6107","N","30/04/2015","34.5%n",260,"kg",89.7
"1378","Wheat Winter","Dickens","Poppy field.6107","SO3","10/03/2015","Sulphur +",140,"kg",28
"1438","Wheat Winter","Duxford","Poppy field.6107","K2O","15/03/2011","Pig Slurry",35,"m3",75.6
"1440","Wheat Winter","Duxford","Poppy field.6107","Manure NH4-N","15/03/2011","Pig Slurry",35,"m3",88.05
"1442","Wheat Winter","Duxford","Poppy field.6107","Manure Total K20","15/03/2011","Pig Slurry",35,"m3",84
"1444","Wheat Winter","Duxford","Poppy field.6107","Manure Total MgO","15/03/2011","Pig Slurry",35,"m3",24.5
"1446","Wheat Winter","Duxford","Poppy field.6107","Manure Total N","15/03/2011","Pig Slurry",35,"m3",126
"1448","Wheat Winter","Duxford","Poppy field.6107","Manure Total P205","15/03/2011","Pig Slurry",35,"m3",63
"1450","Wheat Winter","Duxford","Poppy field.6107","Manure Total SO3","15/03/2011","Pig Slurry",35,"m3",33.95
"1452","Wheat Winter","Duxford","Poppy field.6107","N","07/03/2011","34.5%n",177.42,"kg",61.21
"1453","Wheat Winter","Duxford","Poppy field.6107","N","15/03/2011","Pig Slurry",35,"m3",77
"1454","Wheat Winter","Duxford","Poppy field.6107","N","17/05/2011","34.5%n",260,"kg",89.7
"1456","Wheat Winter","Duxford","Poppy field.6107","P2O5","15/03/2011","Pig Slurry",35,"m3",31.5
"1558","Wheat Winter","Grafton","Poppy field.6107","K2O","24/08/2009","Cattle Fym",20,"t",144
"1560","Wheat Winter","Grafton","Poppy field.6107","Manure NH4-N","24/08/2009","Cattle Fym",20,"t",10
"1562","Wheat Winter","Grafton","Poppy field.6107","Manure NO3-N","24/08/2009","Cattle Fym",20,"t",2
"1564","Wheat Winter","Grafton","Poppy field.6107","Manure Total K20","24/08/2009","Cattle Fym",20,"t",160
"1566","Wheat Winter","Grafton","Poppy field.6107","Manure Total MgO","24/08/2009","Cattle Fym",20,"t",36
"1568","Wheat Winter","Grafton","Poppy field.6107","Manure Total N","24/08/2009","Cattle Fym",20,"t",120
"1570","Wheat Winter","Grafton","Poppy field.6107","Manure Total P205","24/08/2009","Cattle Fym",20,"t",64
"1572","Wheat Winter","Grafton","Poppy field.6107","Manure Total SO3","24/08/2009","Cattle Fym",20,"t",48
"1574","Wheat Winter","Grafton","Poppy field.6107","N","24/08/2009","Cattle Fym",20,"t",12
"1575","Wheat Winter","Grafton","Poppy field.6107","N","08/03/2010","34.5%n",124.48,"kg",42.95
"1576","Wheat Winter","Grafton","Poppy field.6107","N","16/04/2010","34.5%n",229.05,"kg",79.02
"1577","Wheat Winter","Grafton","Poppy field.6107","N","11/05/2010","34.5%n",168.16,"kg",58.02
"1578","Wheat Winter","Grafton","Poppy field.6107","N","26/05/2010","34.5%n",123.59,"kg",42.64
"1580","Wheat Winter","Grafton","Poppy field.6107","P2O5","24/08/2009","Cattle Fym",20,"t",38.4
