"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"213","Barley Spring","Quench","Pylon field.5282",2.51,"34.5%n","Completed","25/03/2011","504.319","kg","200.92"
"214","Barley Spring","Quench","Pylon field.5282",2.51,"34.5%n","Completed","15/04/2011","268.315","kg","106.9"
"215","Barley Spring","Quench","Pylon field.5282",2.51,"Ally Max SX","Completed","18/05/2011","62.75","g","25"
"216","Barley Spring","Quench","Pylon field.5282",2.51,"Barley-Malting","Completed","17/08/2011","20.162","t","8.03"
"217","Barley Spring","Quench","Pylon field.5282",2.51,"Clinic Ace","Completed","16/02/2011","7.53","L","3"
"218","Barley Spring","Quench","Pylon field.5282",2.51,"Combi Drill","Completed","10/03/2011","2.51","ha","1"
"219","Barley Spring","Quench","Pylon field.5282",2.51,"Combine","Completed","17/08/2011","2.51","ha","1"
"220","Barley Spring","Quench","Pylon field.5282",2.51,"Fandango","Completed","18/05/2011","1.453","L","0.58"
"221","Barley Spring","Quench","Pylon field.5282",2.51,"Fert Spread","Completed","04/03/2011","2.51","ha","1"
"222","Barley Spring","Quench","Pylon field.5282",2.51,"Fert Spread","Completed","25/03/2011","2.51","ha","1"
"223","Barley Spring","Quench","Pylon field.5282",2.51,"Fert Spread","Completed","15/04/2011","2.51","ha","1"
"224","Barley Spring","Quench","Pylon field.5282",2.51,"Gala","Completed","18/05/2011","0.879","L","0.35"
"225","Barley Spring","Quench","Pylon field.5282",2.51,"Hallmark With Zeon Technology","Completed","12/04/2011","0.239","L","0.1"
"226","Barley Spring","Quench","Pylon field.5282",2.51,"Headland Manganese 15%","Completed","12/04/2011","13.759","L","5.48"
"227","Barley Spring","Quench","Pylon field.5282",2.51,"MOP","Completed","04/03/2011","433.525","kg","172.72"
"228","Barley Spring","Quench","Pylon field.5282",2.51,"Quench SB","Completed","10/03/2011","451.8","kg","180"
"229","Barley Spring","Quench","Pylon field.5282",2.51,"Spray","Completed","16/02/2011","2.51","ha","1"
"230","Barley Spring","Quench","Pylon field.5282",2.51,"Spray","Completed","19/03/2011","2.51","ha","1"
"231","Barley Spring","Quench","Pylon field.5282",2.51,"Spray","Completed","12/04/2011","2.51","ha","1"
"232","Barley Spring","Quench","Pylon field.5282",2.51,"Spray","Completed","18/05/2011","2.51","ha","1"
"233","Barley Spring","Quench","Pylon field.5282",2.51,"Spray","Completed","29/06/2011","2.51","ha","1"
"234","Barley Spring","Quench","Pylon field.5282",2.51,"Spraying","Completed","16/02/2011","2.51","ha","1"
"235","Barley Spring","Quench","Pylon field.5282",2.51,"Spraying","Completed","19/03/2011","2.51","ha","1"
