"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"869","Barley Winter","Cassia","Quarry 2.8316",5.13,"0-24-24","Completed","24/02/2012","1200","kg","233.92"
"870","Barley Winter","Cassia","Quarry 2.8316",5.13,"34.5%n","Completed","25/02/2012","1041.39","kg","203"
"871","Barley Winter","Cassia","Quarry 2.8316",5.13,"34.5%n","Completed","05/04/2012","974.7","kg","190"
"872","Barley Winter","Cassia","Quarry 2.8316",5.13,"34.5%n","Completed","30/04/2012","589.95","kg","115"
"873","Barley Winter","Cassia","Quarry 2.8316",5.13,"3C Chlormequat 720","Completed","06/03/2012","11.543","L","2.25"
"874","Barley Winter","Cassia","Quarry 2.8316",5.13,"Ally Max SX","Completed","19/04/2012","128.25","g","25"
"875","Barley Winter","Cassia","Quarry 2.8316",5.13,"Azural","Completed","13/07/2012","15.39","L","3"
"876","Barley Winter","Cassia","Quarry 2.8316",5.13,"Barley-Feed","Completed","31/07/2012","41.885","t","8.16"
"877","Barley Winter","Cassia","Quarry 2.8316",5.13,"Cassia WB","Completed","26/09/2011","908.01","kg","177"
"878","Barley Winter","Cassia","Quarry 2.8316",5.13,"Clayton Spigot","Completed","06/03/2012","1.539","L","0.3"
"879","Barley Winter","Cassia","Quarry 2.8316",5.13,"Combi Drill","Completed","26/09/2011","5.13","ha","1"
"880","Barley Winter","Cassia","Quarry 2.8316",5.13,"Combine","Completed","27/07/2012","5.13","ha","1"
"881","Barley Winter","Cassia","Quarry 2.8316",5.13,"Fert Spread","Completed","23/02/2012","5.13","ha","1"
"882","Barley Winter","Cassia","Quarry 2.8316",5.13,"Fert Spread","Completed","24/02/2012","5.13","ha","1"
"883","Barley Winter","Cassia","Quarry 2.8316",5.13,"Fert Spread","Completed","25/02/2012","5.13","ha","1"
"884","Barley Winter","Cassia","Quarry 2.8316",5.13,"Fert Spread","Completed","05/04/2012","5.13","ha","1"
"885","Barley Winter","Cassia","Quarry 2.8316",5.13,"Fert Spread","Completed","30/04/2012","5.13","ha","1"
"886","Barley Winter","Cassia","Quarry 2.8316",5.13,"Gala","Completed","19/04/2012","2.565","L","0.5"
"887","Barley Winter","Cassia","Quarry 2.8316",10.26,"Hallmark With Zeon Technology","Completed","27/10/2011","0.513","L","0.05"
"888","Barley Winter","Cassia","Quarry 2.8316",5.13,"Hallmark With Zeon Technology","Completed","22/05/2012","0.257","L","0.05"
"889","Barley Winter","Cassia","Quarry 2.8316",5.13,"Headland Manganese 15%","Completed","06/03/2012","28.608","L","5.58"
"890","Barley Winter","Cassia","Quarry 2.8316",5.13,"LI-700","Completed","06/03/2012","2.565","L","0.5"
"891","Barley Winter","Cassia","Quarry 2.8316",5.13,"Liberator","Completed","15/10/2011","3.078","L","0.6"
"892","Barley Winter","Cassia","Quarry 2.8316",5.13,"MOP","Completed","23/02/2012","872.1","kg","170"
"893","Barley Winter","Cassia","Quarry 2.8316",5.13,"Pig Fym","Completed","08/08/2012","102.6","t","20"
"894","Barley Winter","Cassia","Quarry 2.8316",5.13,"Ploughing","Completed","21/09/2011","5.13","ha","1"
"895","Barley Winter","Cassia","Quarry 2.8316",5.13,"Roll","Completed","27/09/2011","5.13","ha","1"
"896","Barley Winter","Cassia","Quarry 2.8316",5.13,"Siltra Xpro","Completed","19/04/2012","3.076","L","0.6"
"897","Barley Winter","Cassia","Quarry 2.8316",5.13,"Siltra Xpro","Completed","22/05/2012","2.05","L","0.4"
"898","Barley Winter","Cassia","Quarry 2.8316",5.13,"Spray","Completed","15/10/2011","5.13","ha","1"
"899","Barley Winter","Cassia","Quarry 2.8316",10.26,"Spray","Completed","27/10/2011","10.26","ha","1"
"900","Barley Winter","Cassia","Quarry 2.8316",5.13,"Spray","Completed","06/03/2012","5.13","ha","1"
"901","Barley Winter","Cassia","Quarry 2.8316",5.13,"Spray","Completed","19/04/2012","5.13","ha","1"
"902","Barley Winter","Cassia","Quarry 2.8316",5.13,"Spray","Completed","22/05/2012","5.13","ha","1"
"903","Barley Winter","Cassia","Quarry 2.8316",5.13,"Spray","Completed","13/07/2012","5.13","ha","1"
"904","Barley Winter","Cassia","Quarry 2.8316",5.13,"Sprays for 2011/12 season","Completed","24/07/2012","-17.201","GBP","-3.35"
"905","Barley Winter","Cassia","Quarry 2.8316",5.13,"Spread Manure","Completed","08/08/2012","5.13","ha","1"
"906","Barley Winter","Cassia","Quarry 2.8316",5.13,"Spryte Aqua","Completed","13/07/2012","2.565","L","0.5"
"907","Barley Winter","Cassia","Quarry 2.8316",5.13,"Terpal","Completed","22/05/2012","5.13","L","1"
"1135","Barley Winter","Volume","Quarry 2.8316",5.13,"34.5%n","Completed","07/04/2017","1128.6","kg","220"
"1136","Barley Winter","Volume","Quarry 2.8316",5.13,"34.5%n","Completed","27/04/2017","974.7","kg","190"
"1137","Barley Winter","Volume","Quarry 2.8316",5.13,"Barley-Feed","Completed","18/07/2017","42.622","t","8.31"
"1138","Barley Winter","Volume","Quarry 2.8316",5.13,"BASF 3C Chlormequat 750","Completed","31/10/2016","3.614","L","0.7"
"1139","Barley Winter","Volume","Quarry 2.8316",5.13,"BASF 3C Chlormequat 750","Completed","25/03/2017","10.26","L","2"
"1140","Barley Winter","Volume","Quarry 2.8316",5.13,"Clayton Spigot","Completed","31/10/2016","1.807","L","0.35"
"1141","Barley Winter","Volume","Quarry 2.8316",5.13,"Clayton Spigot","Completed","25/03/2017","1.539","L","0.3"
"1142","Barley Winter","Volume","Quarry 2.8316",5.13,"Combine","Completed","18/07/2017","5.13","ha","1"
"1143","Barley Winter","Volume","Quarry 2.8316",5.13,"Fert Spread","Completed","26/08/2016","5.13","ha","1"
"1144","Barley Winter","Volume","Quarry 2.8316",5.13,"Fert Spread","Completed","21/02/2017","5.13","ha","1"
"1145","Barley Winter","Volume","Quarry 2.8316",5.13,"Fert Spread","Completed","13/03/2017","5.13","ha","1"
"1146","Barley Winter","Volume","Quarry 2.8316",5.13,"Fert Spread","Completed","07/04/2017","5.13","ha","1"
"1147","Barley Winter","Volume","Quarry 2.8316",5.13,"Fert Spread","Completed","27/04/2017","5.13","ha","1"
"1148","Barley Winter","Volume","Quarry 2.8316",5.13,"Karate 2.5 WG","Completed","31/10/2016","0.452","kg","0.09"
"1149","Barley Winter","Volume","Quarry 2.8316",5.13,"Kayak","Completed","31/10/2016","2.259","L","0.44"
"1150","Barley Winter","Volume","Quarry 2.8316",5.13,"Kayak","Completed","25/03/2017","3.078","L","0.6"
"1151","Barley Winter","Volume","Quarry 2.8316",5.13,"Lambdastar","Completed","18/05/2017","0.271","L","0.05"
"1152","Barley Winter","Volume","Quarry 2.8316",5.13,"LI-700","Completed","31/10/2016","2.71","L","0.53"
"1153","Barley Winter","Volume","Quarry 2.8316",5.13,"Liberator","Completed","06/10/2016","3.078","L","0.6"
"1154","Barley Winter","Volume","Quarry 2.8316",5.13,"MOP","Completed","13/03/2017","944.111","kg","184.04"
"1155","Barley Winter","Volume","Quarry 2.8316",5.13,"Ploughing","Completed","05/09/2016","5.13","ha","1"
"1156","Barley Winter","Volume","Quarry 2.8316",5.13,"Roll","Completed","23/09/2016","5.13","ha","1"
"1157","Barley Winter","Volume","Quarry 2.8316",5.13,"Siltra Xpro","Completed","22/04/2017","3.078","L","0.6"
"1158","Barley Winter","Volume","Quarry 2.8316",5.13,"Siltra Xpro","Completed","18/05/2017","3.078","L","0.6"
"1159","Barley Winter","Volume","Quarry 2.8316",5.13,"Spray","Completed","06/10/2016","5.13","ha","1"
"1160","Barley Winter","Volume","Quarry 2.8316",5.13,"Spray","Completed","31/10/2016","5.13","ha","1"
"1161","Barley Winter","Volume","Quarry 2.8316",5.13,"Spray","Completed","25/03/2017","5.13","ha","1"
"1162","Barley Winter","Volume","Quarry 2.8316",5.13,"Spray","Completed","22/04/2017","5.13","ha","1"
"1163","Barley Winter","Volume","Quarry 2.8316",5.13,"Spray","Completed","18/05/2017","5.13","ha","1"
"1164","Barley Winter","Volume","Quarry 2.8316",5.13,"Starane XL","Completed","22/04/2017","5.13","L","1"
"1165","Barley Winter","Volume","Quarry 2.8316",5.13,"Terpal","Completed","22/04/2017","7.695","L","1.5"
