"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"306","Barley Spring","Westminster","Quarry 5.B.8374",6,"34.5%n","Completed","28/02/2009","688.28","kg","114.71"
"307","Barley Spring","Westminster","Quarry 5.B.8374",6,"34.5%n","Completed","16/04/2009","1500","kg","250"
"308","Barley Spring","Westminster","Quarry 5.B.8374",6,"Acanto Prima","Completed","20/05/2009","3.6","kg","0.6"
"309","Barley Spring","Westminster","Quarry 5.B.8374",6,"Astrid Seed","Completed","24/09/2008","5.94","ha","0.99"
"310","Barley Spring","Westminster","Quarry 5.B.8374",6,"Baling-Square","Completed","15/08/2009","48","Bale","8"
"311","Barley Spring","Westminster","Quarry 5.B.8374",6,"Barley-Feed","Completed","10/08/2009","41.26","t","6.88"
"312","Barley Spring","Westminster","Quarry 5.B.8374",6,"Biplay PX","Completed","20/05/2009","222","g","37"
"313","Barley Spring","Westminster","Quarry 5.B.8374",6,"Combine","Completed","10/08/2009","6","ha","1"
"314","Barley Spring","Westminster","Quarry 5.B.8374",6,"Contractor Combi Drilling","Completed","24/09/2008","6","ha","1"
"315","Barley Spring","Westminster","Quarry 5.B.8374",6,"Crawler","Completed","02/12/2008","18","kg","3"
"316","Barley Spring","Westminster","Quarry 5.B.8374",6,"Fert Spread","Completed","20/10/2008","6","ha","1"
"317","Barley Spring","Westminster","Quarry 5.B.8374",6,"Fert Spread","Completed","28/02/2009","6","ha","1"
"318","Barley Spring","Westminster","Quarry 5.B.8374",6,"Fert Spread","Completed","16/04/2009","6","ha","1"
"319","Barley Spring","Westminster","Quarry 5.B.8374",6,"Fox","Completed","01/04/2009","6","L","1"
"320","Barley Spring","Westminster","Quarry 5.B.8374",6,"Harvesan","Completed","02/12/2008","1.8","L","0.3"
"321","Barley Spring","Westminster","Quarry 5.B.8374",6,"Hiker","Completed","20/05/2009","2.4","L","0.4"
"322","Barley Spring","Westminster","Quarry 5.B.8374",6,"Instinct","Completed","20/05/2009","1.2","L","0.2"
"323","Barley Spring","Westminster","Quarry 5.B.8374",6,"Jett Extra","Completed","20/05/2009","6","L","1"
"324","Barley Spring","Westminster","Quarry 5.B.8374",6,"Navona","Completed","20/10/2008","45","kg","7.5"
"325","Barley Spring","Westminster","Quarry 5.B.8374",6,"Ploughing","Completed","17/09/2008","6","ha","1"
"326","Barley Spring","Westminster","Quarry 5.B.8374",6,"Power Harrow","Completed","17/09/2008","6","ha","1"
"327","Barley Spring","Westminster","Quarry 5.B.8374",6,"Priori Xtra","Completed","09/06/2009","2.4","L","0.4"
"328","Barley Spring","Westminster","Quarry 5.B.8374",6,"Raptor","Completed","27/10/2008","2.4","L","0.4"
"329","Barley Spring","Westminster","Quarry 5.B.8374",6,"Rolling","Completed","24/09/2008","6","ha","1"
"330","Barley Spring","Westminster","Quarry 5.B.8374",6,"Spraying","Completed","27/10/2008","6","ha","1"
"331","Barley Spring","Westminster","Quarry 5.B.8374",6,"Spraying","Completed","02/12/2008","6","ha","1"
"332","Barley Spring","Westminster","Quarry 5.B.8374",6,"Spraying","Completed","01/04/2009","6","ha","1"
"333","Barley Spring","Westminster","Quarry 5.B.8374",6,"Spraying","Completed","20/05/2009","6","ha","1"
"334","Barley Spring","Westminster","Quarry 5.B.8374",6,"Spraying","Completed","09/06/2009","6","ha","1"
"335","Barley Spring","Westminster","Quarry 5.B.8374",6,"Vaderstad Drill","Completed","02/03/2009","6","ha","1"
"336","Barley Spring","Westminster","Quarry 5.B.8374",6,"Westminster Sp","Completed","02/03/2009","1091.24","kg","181.87"
