"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"79","Barley Spring","Quench","Roman Ridge Left.5178",18.2,"Barley-Malting","Completed","20/08/2014","138.767","t","7.62"
"80","Barley Spring","Quench","Roman Ridge Left.5178",18.2,"Combi Drill","Completed","05/04/2014","18.2","ha","1"
"81","Barley Spring","Quench","Roman Ridge Left.5178",18.2,"Combine","Completed","20/08/2014","18.2","ha","1"
"82","Barley Spring","Quench","Roman Ridge Left.5178",18.2,"Ploughing","Completed","05/04/2014","18.2","ha","1"
"83","Barley Spring","Quench","Roman Ridge Left.5178",18.2,"Power Harrow","Completed","05/04/2014","18.2","ha","1"
"84","Barley Spring","Quench","Roman Ridge Left.5178",18.2,"Quench SB","Completed","05/04/2014","3839.662","kg","210.97"
"982","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"0.26.26","Completed","10/03/2015","5615.599","kg","308.55"
"983","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"34.5%n","Completed","06/04/2015","3185","kg","175"
"984","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"34.5%n","Completed","01/05/2015","2548","kg","140"
"985","Barley Winter","Glacier","Roman Ridge Left.5178",36.4,"3C Chlormequat 750","Completed","29/10/2014","25.48","L","0.7"
"986","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"3C Chlormequat 750","Completed","09/04/2015","28.21","L","1.55"
"987","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Ally Max SX","Completed","08/05/2015","728","g","40"
"988","Barley Winter","Glacier","Roman Ridge Left.5178",36.4,"Azural","Completed","20/09/2014","91","L","2.5"
"989","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Barley-Feed","Completed","03/08/2015","180.835","t","9.94"
"990","Barley Winter","Glacier","Roman Ridge Left.5178",36.4,"Clayton Spigot","Completed","29/10/2014","10.92","L","0.3"
"991","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Combine","Completed","03/08/2015","18.2","ha","1"
"992","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Fert Spread","Completed","06/03/2015","18.2","ha","1"
"993","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Fert Spread","Completed","10/03/2015","18.2","ha","1"
"994","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Fert Spread","Completed","06/04/2015","18.2","ha","1"
"995","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Fert Spread","Completed","01/05/2015","18.2","ha","1"
"996","Barley Winter","Glacier","Roman Ridge Left.5178",36.4,"Headland Manganese 15%","Completed","29/10/2014","83.415","L","2.29"
"997","Barley Winter","Glacier","Roman Ridge Left.5178",36.4,"Karate 2.5 WG","Completed","29/10/2014","3.64","kg","0.1"
"998","Barley Winter","Glacier","Roman Ridge Left.5178",36.4,"Kayak","Completed","29/10/2014","21.84","L","0.6"
"999","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Kendo","Completed","09/04/2015","1.82","L","0.1"
"1000","Barley Winter","Glacier","Roman Ridge Left.5178",18.2,"Kendo","Completed","20/05/2015","1.757","L","0.1"
