"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"485","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"34.5%n","Completed","31/03/2016","1800","kg","180"
"486","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"34.5%n","Completed","06/05/2016","1200","kg","120"
"487","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Barley-Feed","Completed","25/07/2016","79.121","t","7.91"
"488","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"BASF 3C Chlormequat 750","Completed","26/11/2015","7","L","0.7"
"489","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"BASF 3C Chlormequat 750","Completed","14/04/2016","16","L","1.6"
"490","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Cassia WB","Completed","25/09/2015","1782.905","kg","178.29"
"491","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Clayton Spigot","Completed","26/11/2015","5.037","L","0.5"
"492","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Combine","Completed","25/07/2016","10","ha","1"
"493","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","14/09/2015","10","ha","1"
"494","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","28/02/2016","10","ha","1"
"495","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","16/03/2016","10","ha","1"
"496","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","31/03/2016","10","ha","1"
"497","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","06/05/2016","10","ha","1"
"498","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Karate 2.5 WG","Completed","26/11/2015","1.6","kg","0.16"
"499","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Karate 2.5 WG","Completed","14/04/2016","1","kg","0.1"
"500","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Karate 2.5 WG","Completed","13/05/2016","1.5","kg","0.15"
"501","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Kayak","Completed","26/11/2015","4.03","L","0.4"
"502","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Kendo","Completed","28/05/2016","1.007","L","0.1"
"503","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"LI-700","Completed","14/04/2016","5","L","0.5"
"504","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Liberator","Completed","30/09/2015","6","L","0.6"
"505","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"MOP","Completed","16/03/2016","1399.265","kg","139.93"
"506","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Pig Slurry","Completed","01/04/2016","300","m3","30"
"507","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Plough & Press","Completed","22/09/2015","10","ha","1"
"508","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Roll","Completed","30/09/2015","10","ha","1"
"509","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Roundup Flex","Completed","13/07/2016","12.818","L","1.28"
"510","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Siltra Xpro","Completed","14/04/2016","6","L","0.6"
"511","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Siltra Xpro","Completed","28/05/2016","3","L","0.3"
"512","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Spray","Completed","30/09/2015","10","ha","1"
"513","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Spray","Completed","26/11/2015","10","ha","1"
"514","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Spray","Completed","14/04/2016","10","ha","1"
"515","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Spray","Completed","13/05/2016","10","ha","1"
"516","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Spray","Completed","28/05/2016","10","ha","1"
"517","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Spray","Completed","13/07/2016","10","ha","1"
"518","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Spray rebate 15-16","Completed","31/07/2016","-37.512","GBP","-3.75"
"519","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Starane XL","Completed","14/04/2016","15","L","1.5"
"520","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Terpal","Completed","13/05/2016","10","L","1"
"521","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"TSP 46%","Completed","14/09/2015","2050","kg","205"
"522","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Urea Blend 33%N 30SO3","Completed","28/02/2016","1566.25","kg","156.63"
"523","Barley Winter","Cassia","Roman Ridge Right.A.2470A",10,"Vaderstad Drill","Completed","25/09/2015","10","ha","1"
"2111","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"34.5%n","Completed","26/08/2016","700","kg","70"
"2112","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"34.5%n","Completed","30/03/2017","2820.874","kg","282.09"
"2113","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Astrokerb","Completed","08/11/2016","15.512","L","1.55"
"2114","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Azural","Completed","05/07/2017","30","L","3"
"2115","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Combine","Completed","21/07/2017","10","ha","1"
"2116","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"cropspray 11e","Completed","12/12/2016","5.171","L","0.52"
"2117","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Cythrin Max EC","Completed","30/08/2016","2.5","L","0.25"
"2118","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Cythrin Max EC","Completed","05/09/2016","2.584","L","0.26"
"2119","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Dow Shield 400","Completed","01/03/2017","5","L","0.5"
"2120","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Falcon","Completed","01/03/2017","10","L","1"
"2121","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","26/08/2016","10","ha","1"
"2122","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10.01,"Fert Spread","Completed","21/02/2017","10.01","ha","1"
"2123","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","14/03/2017","10","ha","1"
"2124","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","30/03/2017","10","ha","1"
"2125","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Fox","Completed","12/12/2016","10","L","1"
"2126","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Fusilade Max","Completed","30/08/2016","5","L","0.5"
"2127","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Gusto 3","Completed","30/08/2016","40","kg","4"
"2128","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Headland Boron","Completed","26/10/2016","15.512","kg","1.55"
"2129","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Headland Boron","Completed","21/03/2017","15","kg","1.5"
"2130","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Kendo","Completed","01/03/2017","1.017","L","0.1"
"2131","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Lambdastar","Completed","30/03/2017","0.776","L","0.08"
"2132","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Monkey","Completed","21/03/2017","12.5","L","1.25"
"2133","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"MOP","Completed","14/03/2017","1000","kg","100"
"2134","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Osr","Completed","21/07/2017","41.644","t","4.16"
"2135","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Palmador OSR","Completed","24/08/2016","36.6","kg","3.66"
"2136","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Pictor","Completed","13/04/2017","4","L","0.4"
"2137","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Prosaro","Completed","26/10/2016","4.309","L","0.43"
"2138","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","26/08/2016","10","ha","1"
"2139","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","30/08/2016","10","ha","1"
"2140","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","05/09/2016","10","ha","1"
"2141","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","26/10/2016","10","ha","1"
"2142","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","08/11/2016","10","ha","1"
"2143","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","12/12/2016","10","ha","1"
"2144","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","01/03/2017","10","ha","1"
"2145","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","21/03/2017","10","ha","1"
"2146","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","30/03/2017","10","ha","1"
"2147","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","13/04/2017","10","ha","1"
"2148","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spray","Completed","05/07/2017","10","ha","1"
"2149","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Springbok","Completed","30/08/2016","15","L","1.5"
"2150","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Spryte Aqua","Completed","05/07/2017","10","L","1"
"2151","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Sumo","Completed","29/07/2016","10","ha","1"
"2152","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"TSP 46%","Completed","26/08/2016","1842.307","kg","184.23"
"2153","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10.01,"Urea Blend 33%N 30SO3","Completed","21/02/2017","2202.2","kg","220"
"2154","Rape Winter","Palmedor","Roman Ridge Right.A.2470A",10,"Vaderstad Drill","Completed","24/08/2016","10","ha","1"
"2776","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",8,"0.26.26","Completed","10/03/2015","2468.395","kg","308.55"
"2777","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"34.5%n","Completed","06/04/2015","2300","kg","230"
"2778","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"34.5%n","Completed","01/05/2015","2600","kg","260"
"2779","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"3C Chlormequat 750","Completed","09/04/2015","16","L","1.6"
"2780","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Ally Max SX","Completed","04/05/2015","400","g","40"
"2781","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Aphox","Completed","23/06/2015","2.762","kg","0.28"
"2782","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"BASF 3C Chlormequat 750","Completed","04/05/2015","5.88","L","0.59"
"2783","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Bravo 500","Completed","09/04/2015","10","L","1"
"2784","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Bravo 500","Completed","04/05/2015","10","L","1"
"2785","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Combine","Completed","30/08/2015","10","ha","1"
"2786","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",8,"Dickens WW","Completed","28/10/2014","1689.021","kg","211.13"
"2787","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",16,"Fert Spread","Completed","10/03/2015","16","ha","1"
"2788","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","06/04/2015","10","ha","1"
"2789","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Fert Spread","Completed","01/05/2015","10","ha","1"
"2790","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Firefly 155","Completed","04/05/2015","12.008","L","1.2"
"2791","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Firefly 155","Completed","23/06/2015","10","L","1"
"2792","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Headland Manganese 15%","Completed","09/04/2015","15.277","L","1.53"
"2793","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Imtrex","Completed","27/05/2015","12.5","L","1.25"
"2794","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Joules","Completed","27/05/2015","10","L","1"
"2795","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Joules","Completed","23/06/2015","10","L","1"
"2796","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Justice","Completed","09/04/2015","1.25","L","0.13"
"2797","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Justice","Completed","27/05/2015","1.25","L","0.13"
"2798","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Kendo","Completed","09/04/2015","1","L","0.1"
"2799","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Kendo","Completed","27/05/2015","1","L","0.1"
"2800","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",16,"Liberator","Completed","07/10/2014","9.6","L","0.6"
"2801","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Osiris P","Completed","27/05/2015","7.5","L","0.75"
"2802","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",16,"Spray","Completed","07/10/2014","16","ha","1"
"2803","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Spray","Completed","09/04/2015","10","ha","1"
"2804","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Spray","Completed","04/05/2015","10","ha","1"
"2805","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Spray","Completed","27/05/2015","10","ha","1"
"2806","Wheat Winter","Dickens","Roman Ridge Right.A.2470A",10,"Spray","Completed","23/06/2015","10","ha","1"
