"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"2684","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"0-24-24","Completed","07/04/2014","7120.829","kg","391.25"
"2685","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"34.5%n","Completed","09/04/2014","3148.6","kg","173"
"2686","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"34.5%n","Completed","15/05/2014","3094","kg","170"
"2687","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Ally Max SX","Completed","31/05/2014","546","g","30"
"2688","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Crystal","Completed","10/04/2014","34.906","L","1.92"
"2689","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Fert Spread","Completed","07/04/2014","18.2","ha","1"
"2690","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Fert Spread","Completed","09/04/2014","18.2","ha","1"
"2691","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Fert Spread","Completed","15/05/2014","18.2","ha","1"
"2692","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Gala","Completed","31/05/2014","9.1","L","0.5"
"2693","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Kendo","Completed","17/06/2014","1.82","L","0.1"
"2694","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Siltra Xpro","Completed","31/05/2014","13.65","L","0.75"
"2695","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Spray","Completed","10/04/2014","18.2","ha","1"
"2696","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Spray","Completed","31/05/2014","18.2","ha","1"
"2697","Unallocated","Unallocated","Roman Ridge Right.B.2470B",18.2,"Spray","Completed","17/06/2014","18.2","ha","1"
