"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"1255","Grass","Grass","Sheep race.6243",2.15,"34.5%n","Completed","20/02/2013","296.7","kg","138"
"1256","Grass","Grass","Sheep race.6243",2.15,"34.5%n","Completed","25/08/2013","247.25","kg","115"
"1257","Grass","Grass","Sheep race.6243",2.15,"34.5%n","Completed","10/03/2014","247.25","kg","115"
"1258","Grass","Grass","Sheep race.6243",1,"Dow Shield 400","Completed","15/06/2013","0.25","L","0.25"
"1259","Grass","Grass","Sheep race.6243",2.15,"Fert Spread","Completed","20/02/2013","2.15","ha","1"
"1260","Grass","Grass","Sheep race.6243",2.15,"Fert Spread","Completed","25/08/2013","2.15","ha","1"
"1261","Grass","Grass","Sheep race.6243",2.15,"Fert Spread","Completed","10/03/2014","2.15","ha","1"
"1262","Grass","Grass","Sheep race.6243",2.15,"Pastor","Completed","08/06/2013","4.3","L","2"
"1263","Grass","Grass","Sheep race.6243",1.5,"Pastor","Completed","11/04/2014","3.135","L","2.09"
"1264","Grass","Grass","Sheep race.6243",2.15,"Spray","Completed","08/06/2013","2.15","ha","1"
"1265","Grass","Grass","Sheep race.6243",1,"Spray","Completed","15/06/2013","1","ha","1"
"1266","Grass","Grass","Sheep race.6243",1.5,"Spray","Completed","11/04/2014","1.5","ha","1"
"1413","Grass","Permanent Pastu","Sheep race.6243",2.15,"34.5%n","Completed","10/03/2017","320.656","kg","149.14"
"1414","Grass","Permanent Pastu","Sheep race.6243",2.15,"34.5%n","Completed","19/06/2017","317.343","kg","147.6"
"1415","Grass","Permanent Pastu","Sheep race.6243",2.15,"Fert Spread","Completed","15/03/2016","2.15","ha","1"
"1416","Grass","Permanent Pastu","Sheep race.6243",2.15,"Fert Spread","Completed","27/04/2016","2.15","ha","1"
"1417","Grass","Permanent Pastu","Sheep race.6243",2.15,"Fert Spread","Completed","10/03/2017","2.15","ha","1"
"1418","Grass","Permanent Pastu","Sheep race.6243",2.15,"Fert Spread","Completed","07/04/2017","2.15","ha","1"
"1419","Grass","Permanent Pastu","Sheep race.6243",2.15,"Fert Spread","Completed","19/06/2017","2.15","ha","1"
"1420","Grass","Permanent Pastu","Sheep race.6243",2.15,"Pastor","Completed","02/05/2017","2.15","L","1"
"1421","Grass","Permanent Pastu","Sheep race.6243",2.15,"Spray","Completed","02/05/2017","2.15","ha","1"
"1422","Grass","Permanent Pastu","Sheep race.6243",2.15,"Urea 46%","Completed","15/03/2016","279.5","kg","130"
"1423","Grass","Permanent Pastu","Sheep race.6243",2.15,"Urea 46%","Completed","27/04/2016","196.947","kg","91.6"
"1424","Grass","Permanent Pastu","Sheep race.6243",2.15,"Urea 46%","Completed","07/04/2017","383.528","kg","178.39"
