"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"449","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"34.5%n","Completed","25/02/2012","489.23","kg","203"
"450","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"34.5%n","Completed","05/04/2012","457.9","kg","190"
"451","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"34.5%n","Completed","30/04/2012","277.15","kg","115"
"452","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"3C Chlormequat 720","Completed","06/03/2012","5.423","L","2.25"
"453","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Ally Max SX","Completed","19/04/2012","60.25","g","25"
"454","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Azural","Completed","13/07/2012","7.23","L","3"
"455","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Barley-Feed","Completed","31/07/2012","19.677","t","8.16"
"456","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Cassia WB","Completed","26/09/2011","426.57","kg","177"
"457","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Clayton Spigot","Completed","06/03/2012","0.723","L","0.3"
"458","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Combi Drill","Completed","26/09/2011","2.41","ha","1"
"459","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Combine","Completed","27/07/2012","2.41","ha","1"
"460","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Fert Spread","Completed","25/02/2012","2.41","ha","1"
"461","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Fert Spread","Completed","05/04/2012","2.41","ha","1"
"462","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Fert Spread","Completed","30/04/2012","2.41","ha","1"
"463","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Gala","Completed","19/04/2012","1.205","L","0.5"
"464","Barley Winter","Barley Winter","Silage clamp.6658",4.82,"Hallmark With Zeon Technology","Completed","27/10/2011","0.241","L","0.05"
"465","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Hallmark With Zeon Technology","Completed","22/05/2012","0.121","L","0.05"
"466","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Headland Manganese 15%","Completed","06/03/2012","13.44","L","5.58"
"467","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"LI-700","Completed","06/03/2012","1.205","L","0.5"
"468","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Liberator","Completed","15/10/2011","1.446","L","0.6"
"469","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Pig Fym","Completed","08/08/2012","48.2","t","20"
"470","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Ploughing","Completed","21/09/2011","2.41","ha","1"
"471","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Roll","Completed","27/09/2011","2.41","ha","1"
"472","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Siltra Xpro","Completed","19/04/2012","1.445","L","0.6"
"473","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Siltra Xpro","Completed","22/05/2012","0.963","L","0.4"
"474","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Spray","Completed","15/10/2011","2.41","ha","1"
"475","Barley Winter","Barley Winter","Silage clamp.6658",4.82,"Spray","Completed","27/10/2011","4.82","ha","1"
"476","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Spray","Completed","06/03/2012","2.41","ha","1"
"477","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Spray","Completed","19/04/2012","2.41","ha","1"
"478","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Spray","Completed","22/05/2012","2.41","ha","1"
"479","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Spray","Completed","13/07/2012","2.41","ha","1"
"480","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Sprays for 2011/12 season","Completed","24/07/2012","-8.081","GBP","-3.35"
"481","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Spread Manure","Completed","08/08/2012","2.41","ha","1"
"482","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Spryte Aqua","Completed","13/07/2012","1.205","L","0.5"
"483","Barley Winter","Barley Winter","Silage clamp.6658",2.41,"Terpal","Completed","22/05/2012","2.41","L","1"
"2499","Rape Winter","Palmedor","Silage clamp.6658",2.41,"34.5%n","Completed","28/08/2012","277.15","kg","115"
"2500","Rape Winter","Palmedor","Silage clamp.6658",2.41,"34.5%n","Completed","02/04/2013","867.6","kg","360"
"2501","Rape Winter","Palmedor","Silage clamp.6658",2.41,"34.5%n","Completed","01/05/2013","277.15","kg","115"
"2502","Rape Winter","Palmedor","Silage clamp.6658",4.82,"Advance 66","Completed","20/10/2012","0","L","0"
"2503","Rape Winter","Palmedor","Silage clamp.6658",2.41,"Azural","Completed","02/08/2013","7.993","L","3.32"
"2504","Rape Winter","Palmedor","Silage clamp.6658",2.41,"Boron 15%","Completed","20/04/2013","4.384","L","1.82"
"2505","Rape Winter","Palmedor","Silage clamp.6658",2.41,"Centium 360 CS","Completed","24/08/2012","0.461","L","0.19"
"2506","Rape Winter","Palmedor","Silage clamp.6658",2.41,"Combi Drill","Completed","21/08/2012","2.41","ha","1"
"2507","Rape Winter","Palmedor","Silage clamp.6658",2.41,"Combine","Completed","14/08/2013","2.41","ha","1"
"2508","Rape Winter","Palmedor","Silage clamp.6658",2.41,"Fert Spread","Completed","28/08/2012","2.41","ha","1"
"2509","Rape Winter","Palmedor","Silage clamp.6658",2.41,"Fert Spread","Completed","19/02/2013","2.41","ha","1"
