"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"266","Barley Spring","Quench","Spen field.3267",8.69,"Acanto Prima","Completed","20/05/2009","5.21","kg","0.6"
"267","Barley Spring","Quench","Spen field.3267",8.69,"Barley-Malting","Completed","01/09/2009","51.53","t","5.93"
"268","Barley Spring","Quench","Spen field.3267",8.69,"Biplay PX","Completed","20/05/2009","321.53","g","37"
"269","Barley Spring","Quench","Spen field.3267",8.69,"Combine","Completed","22/08/2009","8.69","ha","1"
"270","Barley Spring","Quench","Spen field.3267",8.69,"Heavy Disc","Completed","02/03/2009","8.69","ha","1"
"271","Barley Spring","Quench","Spen field.3267",8.69,"Heavy Disc","Completed","03/03/2009","8.69","ha","1"
"272","Barley Spring","Quench","Spen field.3267",8.69,"Hiker","Completed","20/05/2009","3.48","L","0.4"
"273","Barley Spring","Quench","Spen field.3267",8.69,"Instinct","Completed","20/05/2009","1.74","L","0.2"
"274","Barley Spring","Quench","Spen field.3267",8.69,"Jett Extra","Completed","20/05/2009","8.69","L","1"
"275","Barley Spring","Quench","Spen field.3267",8.69,"Priori Xtra","Completed","09/06/2009","3.48","L","0.4"
"276","Barley Spring","Quench","Spen field.3267",8.69,"Quench SB","Completed","03/03/2009","1213.69","kg","139.67"
"277","Barley Spring","Quench","Spen field.3267",8.69,"Spraying","Completed","20/05/2009","8.69","ha","1"
"278","Barley Spring","Quench","Spen field.3267",8.69,"Spraying","Completed","09/06/2009","8.69","ha","1"
"279","Barley Spring","Quench","Spen field.3267",8.69,"Vaderstad Drill","Completed","03/03/2009","8.69","ha","1"
"1425","Grass","Permanent Pastu","Spen field.3267",13.05,"34.5%n","Completed","09/03/2010","1470.99","kg","112.72"
"1426","Grass","Permanent Pastu","Spen field.3267",13.05,"34.5%n","Completed","08/04/2010","2986.74","kg","228.87"
"1427","Grass","Permanent Pastu","Spen field.3267",13.05,"34.5%n","Completed","26/05/2010","1612.89","kg","123.59"
"1428","Grass","Permanent Pastu","Spen field.3267",13.05,"34.5%n","Completed","07/03/2011","2315.353","kg","177.42"
"1429","Grass","Permanent Pastu","Spen field.3267",13.05,"34.5%n","Completed","25/03/2011","2622.057","kg","200.92"
"1430","Grass","Permanent Pastu","Spen field.3267",13.05,"34.5%n","Completed","16/05/2011","3417.224","kg","261.86"
"1431","Grass","Permanent Pastu","Spen field.3267",13.05,"34.5%n","Completed","01/07/2011","1500.75","kg","115"
"1432","Grass","Permanent Pastu","Spen field.3267",13.05,"34.5%n","Completed","29/02/2012","1500.75","kg","115"
"1433","Grass","Permanent Pastu","Spen field.3267",11.97,"34.5%n","Completed","19/02/2013","1651.86","kg","138"
"1434","Grass","Permanent Pastu","Spen field.3267",11.97,"34.5%n","Completed","03/04/2013","2753.1","kg","230"
