"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"1509","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","09/03/2010","564.72","kg","112.72"
"1510","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","07/03/2011","888.883","kg","177.42"
"1511","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","01/07/2011","576.15","kg","115"
"1512","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","22/03/2012","876.75","kg","175"
"1513","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","19/02/2013","691.38","kg","138"
"1514","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","10/03/2014","576.15","kg","115"
"1515","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","14/03/2015","701.4","kg","140"
"1516","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","10/03/2017","747.204","kg","149.14"
"1517","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"34.5%n","Completed","19/06/2017","739.483","kg","147.6"
"1518","Grass","Permanent Pastu","Sub Paddock.4902",0.75,"Bale/wrapping","Completed","29/06/2009","2.23","Bale","2.97"
"1519","Grass","Permanent Pastu","Sub Paddock.4902",2.98,"Baling -Small","Completed","29/06/2009","178.33","Misc","59.84"
"1520","Grass","Permanent Pastu","Sub Paddock.4902",0.75,"Baling-Square","Completed","29/06/2009","2.23","Bale","2.97"
"1521","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Doxstar Pro","Completed","10/04/2017","10.02","L","2"
"1522","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Fert Spread","Completed","09/03/2010","5.01","ha","1"
"1523","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Fert Spread","Completed","07/03/2011","5.01","ha","1"
"1524","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Fert Spread","Completed","01/07/2011","5.01","ha","1"
"1525","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Fert Spread","Completed","22/03/2012","5.01","ha","1"
"1526","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Fert Spread","Completed","19/02/2013","5.01","ha","1"
"1527","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Fert Spread","Completed","10/03/2014","5.01","ha","1"
"1528","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Fert Spread","Completed","14/03/2015","5.01","ha","1"
"1529","Grass","Permanent Pastu","Sub Paddock.4902",5.01,"Fert Spread","Completed","15/03/2016","5.01","ha","1"
