"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"908","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"34.5%n","Completed","31/03/2016","3512.6","kg","260"
"909","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"34.5%n","Completed","06/05/2016","1621.2","kg","120"
"910","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Barley-Feed","Completed","24/07/2016","106.893","t","7.91"
"911","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"BASF 3C Chlormequat 750","Completed","26/11/2015","9.457","L","0.7"
"912","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"BASF 3C Chlormequat 750","Completed","14/04/2016","21.616","L","1.6"
"913","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Cassia WB","Completed","03/10/2015","2408.705","kg","178.29"
"914","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Clayton Spigot","Completed","26/11/2015","6.805","L","0.5"
"915","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Combine","Completed","24/07/2016","13.51","ha","1"
"916","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Fert Spread","Completed","28/02/2016","13.51","ha","1"
"917","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Fert Spread","Completed","31/03/2016","13.51","ha","1"
"918","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Fert Spread","Completed","06/05/2016","13.51","ha","1"
"919","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Gusto 3","Completed","23/11/2015","54.04","kg","4"
"920","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Karate 2.5 WG","Completed","26/11/2015","2.162","kg","0.16"
"921","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Karate 2.5 WG","Completed","14/04/2016","1.351","kg","0.1"
"922","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Karate 2.5 WG","Completed","12/05/2016","2.027","kg","0.15"
"923","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Kayak","Completed","26/11/2015","5.444","L","0.4"
"924","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Kendo","Completed","03/06/2016","1.361","L","0.1"
"925","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"LI-700","Completed","14/04/2016","6.755","L","0.5"
"926","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Liberator","Completed","10/10/2015","8.106","L","0.6"
"927","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Pig Slurry","Completed","01/09/2015","675.5","m3","50"
"928","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Plough & Press","Completed","20/09/2015","13.51","ha","1"
"929","Barley Winter","Cassia","Tadcaster Rd Field.1246",7,"Power Harrow","Completed","27/09/2015","7","ha","1"
"930","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Roll","Completed","04/10/2015","13.51","ha","1"
"931","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Roundup Flex","Completed","13/07/2016","17.318","L","1.28"
"932","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Siltra Xpro","Completed","14/04/2016","8.106","L","0.6"
"933","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Siltra Xpro","Completed","03/06/2016","4.053","L","0.3"
"934","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Spray","Completed","10/10/2015","13.51","ha","1"
"935","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Spray","Completed","26/11/2015","13.51","ha","1"
"936","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Spray","Completed","14/04/2016","13.51","ha","1"
"937","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Spray","Completed","12/05/2016","13.51","ha","1"
"938","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Spray","Completed","03/06/2016","13.51","ha","1"
"939","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Spray","Completed","13/07/2016","13.51","ha","1"
"940","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Spray rebate 15-16","Completed","31/07/2016","-50.679","GBP","-3.75"
"941","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Starane XL","Completed","14/04/2016","20.265","L","1.5"
"942","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Terpal","Completed","12/05/2016","13.51","L","1"
"943","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Urea Blend 33%N 30SO3","Completed","28/02/2016","2116.004","kg","156.63"
"944","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Vaderstad Drill","Completed","03/10/2015","13.51","ha","1"
"945","Barley Winter","Cassia","Tadcaster Rd Field.1246",13.51,"Watkins 4m Press","Completed","02/10/2015","13.51","ha","1"
"1631","Peas Vining","Peas Unalloc","Tadcaster Rd Field.1246",13.46,"Ploughing","Completed","21/12/2010","13.46","ha","1"
"2533","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"34.5%n","Completed","26/08/2016","945.7","kg","70"
"2534","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"34.5%n","Completed","30/03/2017","3811.001","kg","282.09"
"2535","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Astrokerb","Completed","11/11/2016","20.957","L","1.55"
"2536","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Azural","Completed","05/07/2017","40.53","L","3"
"2537","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Combine","Completed","19/07/2017","13.51","ha","1"
"2538","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"cropspray 11e","Completed","12/12/2016","6.986","L","0.52"
"2539","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Cythrin Max EC","Completed","30/08/2016","3.378","L","0.25"
"2540","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Cythrin Max EC","Completed","05/09/2016","3.492","L","0.26"
"2541","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Falcon","Completed","15/09/2016","13.51","L","1"
"2542","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Fert Spread","Completed","26/08/2016","13.51","ha","1"
"2543","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Fert Spread","Completed","21/02/2017","13.51","ha","1"
"2544","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Fert Spread","Completed","14/03/2017","13.51","ha","1"
"2545","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Fert Spread","Completed","30/03/2017","13.51","ha","1"
"2546","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Fox","Completed","12/12/2016","13.51","L","1"
"2547","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Fusilade Max","Completed","30/08/2016","6.755","L","0.5"
"2548","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Gusto 3","Completed","30/08/2016","54.04","kg","4"
"2549","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Headland Boron","Completed","26/10/2016","20.957","kg","1.55"
"2550","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Headland Boron","Completed","21/03/2017","20.265","kg","1.5"
"2551","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Kendo","Completed","15/09/2016","1.234","L","0.09"
"2552","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Lambdastar","Completed","30/03/2017","1.048","L","0.08"
"2553","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Monkey","Completed","21/03/2017","16.887","L","1.25"
"2554","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"MOP","Completed","14/03/2017","1351","kg","100"
"2555","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Osr","Completed","19/07/2017","56.261","t","4.16"
"2556","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Palmador OSR","Completed","24/08/2016","49.447","kg","3.66"
"2557","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Pictor","Completed","13/04/2017","5.404","L","0.4"
"2558","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Pig Fym","Completed","30/07/2016","202.65","t","15"
"2559","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Prosaro","Completed","26/10/2016","5.821","L","0.43"
"2560","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","26/08/2016","13.51","ha","1"
"2561","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","30/08/2016","13.51","ha","1"
"2562","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","05/09/2016","13.51","ha","1"
"2563","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","15/09/2016","13.51","ha","1"
"2564","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","26/10/2016","13.51","ha","1"
"2565","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","11/11/2016","13.51","ha","1"
"2566","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","12/12/2016","13.51","ha","1"
"2567","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","21/03/2017","13.51","ha","1"
"2568","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","30/03/2017","13.51","ha","1"
"2569","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","13/04/2017","13.51","ha","1"
"2570","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spray","Completed","05/07/2017","13.51","ha","1"
"2571","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Springbok","Completed","30/08/2016","20.265","L","1.5"
"2572","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Spryte Aqua","Completed","05/07/2017","13.51","L","1"
"2573","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Sumo","Completed","31/07/2016","13.51","ha","1"
"2574","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"TSP 46%","Completed","26/08/2016","2488.956","kg","184.23"
"2575","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Urea Blend 33%N 30SO3","Completed","21/02/2017","2972.2","kg","220"
"2576","Rape Winter","Palmedor","Tadcaster Rd Field.1246",13.51,"Vaderstad Drill","Completed","24/08/2016","13.51","ha","1"
"2700","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"34.5%n","Completed","28/02/2009","1544.05","kg","114.71"
"2701","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"34.5%n","Completed","16/04/2009","3308.66","kg","245.81"
"2702","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Alchemy","Completed","08/10/2008","1750","kg","130.01"
"2703","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Bio Power","Completed","21/04/2009","13.46","L","1"
"2704","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Combine","Completed","09/09/2009","13.46","ha","1"
"2705","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Contractor Combi Drilling","Completed","08/10/2008","13.46","ha","1"
"2706","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",3.5,"Cordiale WW","Completed","02/03/2009","500","kg","142.86"
"2707","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Fert Spread","Completed","28/02/2009","13.46","ha","1"
"2708","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Fert Spread","Completed","08/04/2009","13.46","ha","1"
"2709","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Fert Spread","Completed","16/04/2009","13.46","ha","1"
"2710","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Jett Extra","Completed","19/05/2009","13.46","L","1"
"2711","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Manipulator","Completed","19/05/2009","13.46","L","1"
"2712","Wheat Winter","Alchemy","Tadcaster Rd Field.1246",13.46,"Mantra","Completed","19/05/2009","10.09","L","0.75"
