,Crop.Group,Variety,Field.Defined.Name,Application.Area.ha,Product.Name,Status,Actual.Issued.Date,Quantity,Units,Rate.per.Application.Area.ha
1565,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Bale/wrapping,Completed,13/06/2006,0,Bale,0
1566,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Baling-Round,Completed,13/06/2006,0,Bale,0
1556,Grass,Permanent Pastu,Valley Field.SE4442,6.09,34.5%n,Completed,09/03/2010,686.46,kg,112.72
1567,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,09/03/2010,6.09,ha,1
1579,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Pastor,Completed,10/04/2010,17.11,L,2.81
1582,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Spray,Completed,10/04/2010,6.09,ha,1
1557,Grass,Permanent Pastu,Valley Field.SE4442,6.09,34.5%n,Completed,26/05/2010,752.68,kg,123.59
1568,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,26/05/2010,6.09,ha,1
1558,Grass,Permanent Pastu,Valley Field.SE4442,6.09,34.5%n,Completed,07/03/2011,1080.498,kg,177.42
1569,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,07/03/2011,6.09,ha,1
1559,Grass,Permanent Pastu,Valley Field.SE4442,6.09,34.5%n,Completed,24/04/2011,432.753,kg,71.06
1570,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,24/04/2011,6.09,ha,1
1560,Grass,Permanent Pastu,Valley Field.SE4442,6.09,34.5%n,Completed,01/07/2011,700.35,kg,115
1571,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,01/07/2011,6.09,ha,1
1578,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Headley Hall cut & graze (6/7yrs),Completed,05/09/2011,33.215,kg,5.45
1561,Grass,Permanent Pastu,Valley Field.SE4442,6.09,34.5%n,Completed,29/02/2012,700.35,kg,115
1572,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,29/02/2012,6.09,ha,1
1580,Grass,Permanent Pastu,Valley Field.SE4442,3,Pastor,Completed,20/04/2012,6,L,2
1583,Grass,Permanent Pastu,Valley Field.SE4442,3,Spray,Completed,20/04/2012,3,ha,1
1585,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Sprays for 2011/12 season,Completed,24/07/2012,-20.42,GBP,-3.35
1562,Grass,Permanent Pastu,Valley Field.SE4442,6.09,34.5%n,Completed,20/02/2013,840.42,kg,138
1573,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,20/02/2013,6.09,ha,1
1581,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Pastor,Completed,08/06/2013,12.18,L,2
1584,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Spray,Completed,08/06/2013,6.09,ha,1
1563,Grass,Permanent Pastu,Valley Field.SE4442,6.09,34.5%n,Completed,10/03/2014,700.35,kg,115
1574,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,10/03/2014,6.09,ha,1
1575,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Fert Spread,Completed,15/03/2016,6.09,ha,1
1586,Grass,Permanent Pastu,Valley Field.SE4442,6.09,Urea 46%,Completed,15/03/2016,791.7,kg,130
1564,Grass,Permanent Pastu,Valley Field.SE4442,5.75,34.5%n,Completed,10/03/2017,857.569,kg,149.14
1576,Grass,Permanent Pastu,Valley Field.SE4442,5.75,Fert Spread,Completed,10/03/2017,5.75,ha,1
1577,Grass,Permanent Pastu,Valley Field.SE4442,5.75,Fert Spread,Completed,07/04/2017,5.75,ha,1
1587,Grass,Permanent Pastu,Valley Field.SE4442,5.75,Urea 46%,Completed,07/04/2017,1025.715,kg,178.39
