"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"1267","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","29/02/2012","386.4","kg","115"
"1268","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","22/03/2012","588","kg","175"
"1269","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","19/02/2013","463.68","kg","138"
"1270","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","03/04/2013","772.8","kg","230"
"1271","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","14/03/2015","940.8","kg","280"
"1272","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","17/03/2015","386.4","kg","115"
"1273","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","22/05/2015","588","kg","175"
"1274","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","10/03/2017","1000","kg","297.62"
"1275","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","10/05/2017","933.171","kg","277.73"
"1276","Grass","Grass","Warren Paddock.4216",3.36,"34.5%n","Completed","19/06/2017","495.941","kg","147.6"
"1277","Grass","Grass","Warren Paddock.4216",3.36,"AB 18 month triple cut mix","Completed","22/08/2011","88.825","kg","26.44"
"1278","Grass","Grass","Warren Paddock.4216",3.36,"Bale/wrapping","Completed","12/08/2015","3.36","Bale","1"
"1279","Grass","Grass","Warren Paddock.4216",3.36,"Combi Drill","Completed","22/08/2011","3.36","ha","1"
"1280","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","29/02/2012","3.36","ha","1"
"1281","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","22/03/2012","3.36","ha","1"
"1282","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","19/02/2013","3.36","ha","1"
"1283","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","03/04/2013","3.36","ha","1"
"1284","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","14/03/2015","3.36","ha","1"
"1285","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","17/03/2015","3.36","ha","1"
"1286","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","22/05/2015","3.36","ha","1"
"1287","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","10/03/2017","3.36","ha","1"
"1288","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","10/05/2017","3.36","ha","1"
"1289","Grass","Grass","Warren Paddock.4216",3.36,"Fert Spread","Completed","19/06/2017","3.36","ha","1"
"1290","Grass","Grass","Warren Paddock.4216",3.36,"Grass Silage","Completed","04/05/2017","28.493","t","8.48"
"1291","Grass","Grass","Warren Paddock.4216",3.36,"Headley Hall cut & graze (6/7yrs)","Completed","05/09/2011","18.326","kg","5.45"
"1292","Grass","Grass","Warren Paddock.4216",3.36,"Pastor","Completed","12/03/2012","6.72","L","2"
"1293","Grass","Grass","Warren Paddock.4216",3.36,"Silaging","Completed","15/05/2015","3.36","ha","1"
"1294","Grass","Grass","Warren Paddock.4216",3.36,"Silaging","Completed","25/06/2015","3.36","ha","1"
"1295","Grass","Grass","Warren Paddock.4216",3.36,"Silaging","Completed","04/05/2017","3.36","ha","1"
"1296","Grass","Grass","Warren Paddock.4216",3.36,"Spray","Completed","12/03/2012","3.36","ha","1"
"1297","Grass","Grass","Warren Paddock.4216",3.36,"Sprays for 2011/12 season","Completed","24/07/2012","-11.266","GBP","-3.35"
"1588","Grass","Permanent Pastu","Warren Paddock.4216",3.36,"34.5%n","Completed","10/03/2014","386.4","kg","115"
"1589","Grass","Permanent Pastu","Warren Paddock.4216",3.36,"Fert Spread","Completed","10/03/2014","3.36","ha","1"
"1590","Grass","Permanent Pastu","Warren Paddock.4216",3.36,"Silaging","Completed","09/05/2014","3.36","ha","1"
"1591","Grass","Permanent Pastu","Warren Paddock.4216",3.36,"Silaging","Completed","19/06/2014","3.36","ha","1"
"2072","Rape Winter","Marcant","Warren Paddock.4216",3.36,"0-24-24","Completed","13/09/2010","676.819","kg","201.43"
"2073","Rape Winter","Marcant","Warren Paddock.4216",6.72,"34.5%n","Completed","19/04/2011","1162.658","kg","173.01"
"2074","Rape Winter","Marcant","Warren Paddock.4216",3.36,"Boron 15%","Completed","21/10/2010","4.603","L","1.37"
"2075","Rape Winter","Marcant","Warren Paddock.4216",3.36,"Centium 360 CS","Completed","13/09/2010","0.66","L","0.2"
