"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"18","Barley Spring","Barley Spring","Weather station.8051",3.28,"34.5%n","Completed","23/03/2012","557.6","kg","170"
"19","Barley Spring","Barley Spring","Weather station.8051",3.28,"34.5%n","Completed","04/05/2012","557.6","kg","170"
"20","Barley Spring","Barley Spring","Weather station.8051",3.28,"Ally Max SX","Completed","24/05/2012","82","g","25"
"21","Barley Spring","Barley Spring","Weather station.8051",3.28,"Barley-Feed","Completed","25/09/2012","22.551","t","6.88"
"22","Barley Spring","Barley Spring","Weather station.8051",3.28,"Combine","Completed","25/09/2012","3.28","ha","1"
"23","Barley Spring","Barley Spring","Weather station.8051",3.28,"Fert Spread","Completed","23/03/2012","3.28","ha","1"
"24","Barley Spring","Barley Spring","Weather station.8051",3.28,"Fert Spread","Completed","04/05/2012","3.28","ha","1"
"25","Barley Spring","Barley Spring","Weather station.8051",3.28,"Gala","Completed","24/05/2012","2.46","L","0.75"
"26","Barley Spring","Barley Spring","Weather station.8051",3.28,"Hallmark With Zeon Technology","Completed","24/05/2012","0.164","L","0.05"
"27","Barley Spring","Barley Spring","Weather station.8051",3.28,"Hallmark With Zeon Technology","Completed","10/06/2012","0.156","L","0.05"
"28","Barley Spring","Barley Spring","Weather station.8051",3.28,"Headland Manganese 15%","Completed","24/05/2012","0","L","0"
"29","Barley Spring","Barley Spring","Weather station.8051",3.28,"Siltra Xpro","Completed","10/06/2012","2.46","L","0.75"
"30","Barley Spring","Barley Spring","Weather station.8051",3.28,"Spray","Completed","15/03/2012","3.28","ha","1"
"31","Barley Spring","Barley Spring","Weather station.8051",3.28,"Spray","Completed","24/05/2012","3.28","ha","1"
"32","Barley Spring","Barley Spring","Weather station.8051",3.28,"Spray","Completed","10/06/2012","3.28","ha","1"
"33","Barley Spring","Barley Spring","Weather station.8051",3.28,"Sprays for 2011/12 season","Completed","24/07/2012","-10.998","GBP","-3.35"
"34","Barley Spring","Barley Spring","Weather station.8051",3.28,"Stomp 400 SC","Completed","15/03/2012","10.824","L","3.3"
"946","Barley Winter","Cassia","Weather station.8051",3.28,"34.5%n","Completed","23/03/2014","754.4","kg","230"
"947","Barley Winter","Cassia","Weather station.8051",3.28,"34.5%n","Completed","03/05/2014","570.72","kg","174"
"948","Barley Winter","Cassia","Weather station.8051",3.28,"3C Chlormequat 720","Completed","17/10/2013","2.296","L","0.7"
"949","Barley Winter","Cassia","Weather station.8051",3.28,"3C Chlormequat 750","Completed","11/04/2014","4.92","L","1.5"
"950","Barley Winter","Cassia","Weather station.8051",3.28,"Ally Max SX","Completed","29/04/2014","82","g","25"
"951","Barley Winter","Cassia","Weather station.8051",3.28,"Azural","Completed","10/09/2013","9.84","L","3"
"952","Barley Winter","Cassia","Weather station.8051",3.28,"Azural","Completed","11/07/2014","6.56","L","2"
"953","Barley Winter","Cassia","Weather station.8051",3.28,"Barley-Feed","Completed","21/07/2014","26.091","t","7.95"
"954","Barley Winter","Cassia","Weather station.8051",3.28,"Cassia WB","Completed","15/09/2013","637.403","kg","194.33"
"955","Barley Winter","Cassia","Weather station.8051",3.28,"Combi Drill","Completed","15/09/2013","3.28","ha","1"
"956","Barley Winter","Cassia","Weather station.8051",3.28,"Combine","Completed","21/07/2014","3.28","ha","1"
"957","Barley Winter","Cassia","Weather station.8051",3.28,"Fert Spread","Completed","05/03/2014","3.28","ha","1"
"958","Barley Winter","Cassia","Weather station.8051",3.28,"Fert Spread","Completed","23/03/2014","3.28","ha","1"
"959","Barley Winter","Cassia","Weather station.8051",3.28,"Fert Spread","Completed","03/05/2014","3.28","ha","1"
"960","Barley Winter","Cassia","Weather station.8051",3.28,"Gala","Completed","29/04/2014","2.25","L","0.69"
"961","Barley Winter","Cassia","Weather station.8051",3.28,"Headland Manganese 15%","Completed","11/04/2014","10.088","L","3.08"
"962","Barley Winter","Cassia","Weather station.8051",3.28,"Justice","Completed","11/04/2014","0.41","L","0.13"
"963","Barley Winter","Cassia","Weather station.8051",3.28,"Karate 2.5 WG","Completed","17/10/2013","0.375","kg","0.11"
"964","Barley Winter","Cassia","Weather station.8051",3.28,"Kayak","Completed","11/04/2014","1.875","L","0.57"
"965","Barley Winter","Cassia","Weather station.8051",3.28,"Kendo","Completed","11/04/2014","0.328","L","0.1"
"966","Barley Winter","Cassia","Weather station.8051",3.28,"LI-700","Completed","17/10/2013","1.64","L","0.5"
"967","Barley Winter","Cassia","Weather station.8051",3.28,"LI-700","Completed","11/04/2014","1.5","L","0.46"
"968","Barley Winter","Cassia","Weather station.8051",3.28,"Liberator","Completed","27/09/2013","1.968","L","0.6"
"969","Barley Winter","Cassia","Weather station.8051",3.28,"Roll","Completed","15/09/2013","3.28","ha","1"
"970","Barley Winter","Cassia","Weather station.8051",3.28,"Siltra Xpro","Completed","29/04/2014","1.968","L","0.6"
"971","Barley Winter","Cassia","Weather station.8051",3.28,"Spray","Completed","10/09/2013","3.28","ha","1"
"972","Barley Winter","Cassia","Weather station.8051",3.28,"Spray","Completed","27/09/2013","3.28","ha","1"
"973","Barley Winter","Cassia","Weather station.8051",3.28,"Spray","Completed","17/10/2013","3.28","ha","1"
"974","Barley Winter","Cassia","Weather station.8051",3.28,"Spray","Completed","11/04/2014","3.28","ha","1"
"975","Barley Winter","Cassia","Weather station.8051",3.28,"Spray","Completed","29/04/2014","3.28","ha","1"
"976","Barley Winter","Cassia","Weather station.8051",3.28,"Spray","Completed","11/07/2014","3.28","ha","1"
"977","Barley Winter","Cassia","Weather station.8051",3.28,"Spryte Aqua","Completed","11/07/2014","1.64","L","0.5"
"978","Barley Winter","Cassia","Weather station.8051",3.28,"Sulphur +","Completed","05/03/2014","456.589","kg","139.2"
"979","Barley Winter","Cassia","Weather station.8051",3.28,"Sumo","Completed","15/09/2013","3.28","ha","1"
"980","Barley Winter","Cassia","Weather station.8051",3.28,"Terpal","Completed","29/04/2014","3.299","L","1.01"
"1932","Rape Winter","Hear","Weather station.8051",3.28,"34.5%n","Completed","24/08/2014","131.2","kg","40"
"1933","Rape Winter","Hear","Weather station.8051",3.28,"34.5%n","Completed","18/03/2015","738","kg","225"
"1934","Rape Winter","Hear","Weather station.8051",3.28,"34.5%n","Completed","05/04/2015","393.6","kg","120"
"1935","Rape Winter","Hear","Weather station.8051",3.28,"Azural","Completed","17/08/2014","8.2","L","2.5"
