"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"687","Barley Winter","Cassia","Hanger Field.5274",10.66,"34.5%n","Completed","07/04/2017","2345.2","kg","220"
"688","Barley Winter","Cassia","Hanger Field.5274",10.66,"34.5%n","Completed","27/04/2017","2025.4","kg","190"
"689","Barley Winter","Cassia","Hanger Field.5274",10.66,"Barley-Feed","Completed","25/07/2017","88.568","t","8.31"
"690","Barley Winter","Cassia","Hanger Field.5274",10.66,"BASF 3C Chlormequat 750","Completed","31/10/2016","7.51","L","0.7"
"691","Barley Winter","Cassia","Hanger Field.5274",10.66,"BASF 3C Chlormequat 750","Completed","25/03/2017","21.32","L","2"
"692","Barley Winter","Cassia","Hanger Field.5274",10.66,"Cassia WB","Completed","23/09/2016","1943.378","kg","182.31"
"693","Barley Winter","Cassia","Hanger Field.5274",10.66,"Clayton Spigot","Completed","31/10/2016","3.755","L","0.35"
"694","Barley Winter","Cassia","Hanger Field.5274",10.66,"Clayton Spigot","Completed","25/03/2017","3.198","L","0.3"
"695","Barley Winter","Cassia","Hanger Field.5274",10.66,"Combine","Completed","25/07/2017","10.66","ha","1"
"696","Barley Winter","Cassia","Hanger Field.5274",10.66,"Fert Spread","Completed","05/09/2016","10.66","ha","1"
"697","Barley Winter","Cassia","Hanger Field.5274",10.66,"Fert Spread","Completed","21/02/2017","10.66","ha","1"
"698","Barley Winter","Cassia","Hanger Field.5274",10.66,"Fert Spread","Completed","13/03/2017","10.66","ha","1"
"699","Barley Winter","Cassia","Hanger Field.5274",10.66,"Fert Spread","Completed","07/04/2017","10.66","ha","1"
"700","Barley Winter","Cassia","Hanger Field.5274",10.66,"Fert Spread","Completed","27/04/2017","10.66","ha","1"
"701","Barley Winter","Cassia","Hanger Field.5274",10.66,"Karate 2.5 WG","Completed","31/10/2016","0.939","kg","0.09"
"702","Barley Winter","Cassia","Hanger Field.5274",10.66,"Kayak","Completed","31/10/2016","4.694","L","0.44"
"703","Barley Winter","Cassia","Hanger Field.5274",10.66,"Kayak","Completed","25/03/2017","6.396","L","0.6"
"704","Barley Winter","Cassia","Hanger Field.5274",10.66,"Lambdastar","Completed","18/05/2017","0.563","L","0.05"
"705","Barley Winter","Cassia","Hanger Field.5274",10.66,"LI-700","Completed","31/10/2016","5.632","L","0.53"
"706","Barley Winter","Cassia","Hanger Field.5274",10.66,"Liberator","Completed","06/10/2016","6.396","L","0.6"
"707","Barley Winter","Cassia","Hanger Field.5274",10.66,"MOP","Completed","13/03/2017","1961.838","kg","184.04"
"708","Barley Winter","Cassia","Hanger Field.5274",10.66,"Ploughing","Completed","06/09/2016","10.66","ha","1"
"709","Barley Winter","Cassia","Hanger Field.5274",10.66,"Roll","Completed","23/09/2016","10.66","ha","1"
"710","Barley Winter","Cassia","Hanger Field.5274",10.66,"Siltra Xpro","Completed","22/04/2017","6.396","L","0.6"
"711","Barley Winter","Cassia","Hanger Field.5274",10.66,"Siltra Xpro","Completed","18/05/2017","6.396","L","0.6"
"712","Barley Winter","Cassia","Hanger Field.5274",10.66,"Spray","Completed","06/10/2016","10.66","ha","1"
"713","Barley Winter","Cassia","Hanger Field.5274",10.66,"Spray","Completed","31/10/2016","10.66","ha","1"
"714","Barley Winter","Cassia","Hanger Field.5274",10.66,"Spray","Completed","25/03/2017","10.66","ha","1"
"715","Barley Winter","Cassia","Hanger Field.5274",10.66,"Spray","Completed","22/04/2017","10.66","ha","1"
"716","Barley Winter","Cassia","Hanger Field.5274",10.66,"Spray","Completed","18/05/2017","10.66","ha","1"
"717","Barley Winter","Cassia","Hanger Field.5274",10.66,"Starane XL","Completed","22/04/2017","10.66","L","1"
